row_label_raw,row_label_full,col_0,Hoạt động sản xuất và bán điện VND,Hoạt động xây lắp VND,Hoạt động cung cấp dịch vụ VND,Hoạt động sản xuất và bán trụ BTLT VND,Loại trừ VND,Tổng cộng VND,numeric__Hoạt động sản xuất và bán điện VND,numeric__Hoạt động xây lắp VND,numeric__Hoạt động cung cấp dịch vụ VND,numeric__Hoạt động sản xuất và bán trụ BTLT VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu > Bán hàng và cung cấp dịch vụ ra bên ngoài,Bán hàng và cung cấp dịch vụ ra bên ngoài,484.472.843.901,32.823.441.537,21.803.846.879,-,-,539.100.132.317,484472843901.0,32823441537.0,21803846879.0,,,539100132317.0
Trong nội bộ Tập đoàn,Doanh thu > Trong nội bộ Tập đoàn,Trong nội bộ Tập đoàn,1.234.407.576,2.078.366.272,10.217.854.552,-,(13.530.628.400),-,1234407576.0,2078366272.0,10217854552.0,,-13530628400.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,485.707.251.477,34.901.807.809,32.021.701.431,-,(13.530.628.400),539.100.132.317,485707251477.0,34901807809.0,32021701431.0,,-13530628400.0,539100132317.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả hoạt động kinh doanh > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,300.887.074.757,4.071.275.412,6.627.407.528,-,218.274.408,311.804.032.105(66.013.944.742),300887074757.0,4071275412.0,6627407528.0,,218274408.0,
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,300.887.074.757,4.071.275.412,6.627.407.528,-,218.274.408,17.993.340.549,300887074757.0,4071275412.0,6627407528.0,,218274408.0,17993340549.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,300.887.074.757,4.071.275.412,6.627.407.528,-,218.274.408,(24.627.342.830),300887074757.0,4071275412.0,6627407528.0,,218274408.0,-24627342830.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,300.887.074.757,4.071.275.412,6.627.407.528,-,218.274.408,(8.719.240.618),300887074757.0,4071275412.0,6627407528.0,,218274408.0,-8719240618.0
Lỗ khác,Kết quả hoạt động kinh doanh > Lỗ khác,Lỗ khác,300.887.074.757,4.071.275.412,6.627.407.528,-,218.274.408,230.436.844.464,300887074757.0,4071275412.0,6627407528.0,,218274408.0,230436844464.0
Lợi nhuận trước thuế TNDN,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,300.887.074.757,4.071.275.412,6.627.407.528,-,218.274.408,(21.417.063.799),300887074757.0,4071275412.0,6627407528.0,,218274408.0,-21417063799.0
Chi phí thuế TNDN hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,300.887.074.757,4.071.275.412,6.627.407.528,-,218.274.408,281.412.530,300887074757.0,4071275412.0,6627407528.0,,218274408.0,281412530.0
Thu nhập thuế TNDN hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,300.887.074.757,4.071.275.412,6.627.407.528,-,218.274.408,209.301.193.195,300887074757.0,4071275412.0,6627407528.0,,218274408.0,209301193195.0
Lợi nhuận sau thuế TNDN,Kết quả hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,300.887.074.757,4.071.275.412,6.627.407.528,-,218.274.408,,300887074757.0,4071275412.0,6627407528.0,,218274408.0,
Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017,,,,,,
Tài sản bộ phận,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017 > Tài sản bộ phận,Tài sản bộ phận,1.145.393.736.159,30.463.467.029,77.847.136.320,-,-,1.253.704.339.508,1145393736159.0,30463467029.0,77847136320.0,,,1253704339508.0
Tài sản không phân bổ,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017 > Tài sản không phân bổ,Tài sản không phân bổ,1.145.393.736.159,30.463.467.029,77.847.136.320,-,-,404.904.694.537,1145393736159.0,30463467029.0,77847136320.0,,,404904694537.0
Tổng tài sản,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2017 > Tổng tài sản,Tổng tài sản,1.145.393.736.159,30.463.467.029,77.847.136.320,-,-,1.658.609.034.045,1145393736159.0,30463467029.0,77847136320.0,,,1658609034045.0
