row_label_raw,row_label_full,Phải thu về cho vay ngắn hạn (Thuyết minh 7),Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh 7),Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh 7),numeric__Số cuối năm > Phải thu về cho vay ngắn hạn (Thuyết minh 7),numeric__Số đầu năm > Phải thu về cho vay ngắn hạn (Thuyết minh 7)
Công ty Cổ phần Sản xuất Thương mạiTâm Bình An,Công ty Cổ phần Sản xuất Thương mạiTâm Bình An,Công ty Cổ phần Sản xuất Thương mạiTâm Bình An,38.000.000.000,-,38000000000.0,
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,32.000.000.000,-,32000000000.0,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,23.500.000.000,74.000.000.000,23500000000.0,74000000000.0
,,,93.500.000.000,74.000.000.000,93500000000.0,74000000000.0
Phải trả người bán ngắn hạn (Thuyết minh 14),Phải trả người bán ngắn hạn (Thuyết minh 14),Phải trả người bán ngắn hạn (Thuyết minh 14),Phải trả người bán ngắn hạn (Thuyết minh 14),Phải trả người bán ngắn hạn (Thuyết minh 14),,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả người bán ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,4.108.569.869,1.195.838.530,4108569869.0,1195838530.0
Công ty Cổ phần Du lịch Thành Thành Công,Phải trả người bán ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,687.572.430,-,687572430.0,
Công ty Cổ phần Trường Phú,Phải trả người bán ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Trường Phú,Công ty Cổ phần Trường Phú,504.000.000,162.000.000,504000000.0,162000000.0
Công ty Cổ phần Mía đường Thành Thành CôngTây Ninh,Phải trả người bán ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Mía đường Thành Thành CôngTây Ninh,Công ty Cổ phần Mía đường Thành Thành CôngTây Ninh,333.250.000,-,333250000.0,
Công ty Cổ phần Thành Thành Nam,Phải trả người bán ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,24.889.920,,24889920.0,
Công ty Cổ phần Du lịch Thanh Bình,Phải trả người bán ngắn hạn (Thuyết minh 14) > Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,-,1.500.000,,1500000.0
,,,5.658.282.219,1.359.338.530,5658282219.0,1359338530.0
Người mua trả tiền trước ngắn hạn (Thuyết minh 15),Người mua trả tiền trước ngắn hạn (Thuyết minh 15),Người mua trả tiền trước ngắn hạn (Thuyết minh 15),Người mua trả tiền trước ngắn hạn (Thuyết minh 15),Người mua trả tiền trước ngắn hạn (Thuyết minh 15),,
Công ty Cổ phần Thủy điện Trường Phú,Người mua trả tiền trước ngắn hạn (Thuyết minh 15) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,2.360.464.630,-,2360464630.0,
Công ty Cổ phần đầu tư Thành Thành Công,Người mua trả tiền trước ngắn hạn (Thuyết minh 15) > Công ty Cổ phần đầu tư Thành Thành Công,Công ty Cổ phần đầu tư Thành Thành Công,434.251.083,-,434251083.0,
Công ty TNHH Một thành viên Nhiệt điện Gia Lai,Người mua trả tiền trước ngắn hạn (Thuyết minh 15) > Công ty TNHH Một thành viên Nhiệt điện Gia Lai,Công ty TNHH Một thành viên Nhiệt điện Gia Lai,550.000.000,550.000.000,550000000.0,550000000.0
Công ty Cổ phần Thương tín Tàu Cước,Người mua trả tiền trước ngắn hạn (Thuyết minh 15) > Công ty Cổ phần Thương tín Tàu Cước,Công ty Cổ phần Thương tín Tàu Cước,-,1.031.405.100,,1031405100.0
,,,3.344.715.713,1.581.405.100,3344715713.0,1581405100.0
Phải trả ngắn hạn khác (Thuyết minh 17),Phải trả ngắn hạn khác (Thuyết minh 17),Phải trả ngắn hạn khác (Thuyết minh 17),Phải trả ngắn hạn khác (Thuyết minh 17),Phải trả ngắn hạn khác (Thuyết minh 17),,
Tổng Công ty Điện lực Miền Trung,Phải trả ngắn hạn khác (Thuyết minh 17) > Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,1.380.000.000,1.320.000.000,1380000000.0,1320000000.0
