row_label_raw,row_label_full,col_0,Địa điểm hoạt động,Tình trạng hoạt động,Lĩnh vực kinh doanh,Tỷ lệ sở hữu (%),Tỷ lệ sở hữu (%)_1,numeric__Địa điểm hoạt động,numeric__Tình trạng hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu (%),numeric__Tỷ lệ sở hữu (%)_1
,,,Địa điểm hoạt động,Tình trạng hoạt động,Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,,,,,
Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"Sản xuất, truyền tải và phân phối điện","58,1","58,1",,,,58.1,58.1
Công ty TNHH Một thành viên Thủy điện Thương Lộ (i),Công ty TNHH Một thành viên Thủy điện Thương Lộ (i),Công ty TNHH Một thành viên Thủy điện Thương Lộ (i),"Tỉnh Thừa Thiên Huế, Việt Nam",Đang hoạt động,"Sản xuất, truyền tải và phân phối điện","100,0","87,4",,,,100.0,87.4
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai (ii),Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai (ii),Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai (ii),"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,Xây dựng các công trình thủy điện vừa và nhỏ; sản xuất bê tông và các sản phẩm từ xi măng và thạch cao,"100,0","100,0",,,,100.0,100.0
Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"Sản xuất, truyền tải và phân phối điện","65,3","65,3",,,,65.3,65.3
Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định (iii),Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định (iii),Công ty Cổ phần Điện Mặt trời TTC Tây Sơn - Bình Định (iii),"Tỉnh Bình Định, Việt Nam",Đang hoạt động,"Sản xuất, truyền tải và phân phối điện","100,0",-,,,,100.0,
Công ty Cổ phần Điện TTC Tây Sơn - Bình Định (iii),Công ty Cổ phần Điện TTC Tây Sơn - Bình Định (iii),Công ty Cổ phần Điện TTC Tây Sơn - Bình Định (iii),"Tỉnh Bình Định, Việt Nam",Đang hoạt động,"Sản xuất, truyền tải và phân phối điện","100,0",-,,,,100.0,
Công ty Cổ phần Điện mặt trời TTC Đức Huệ - Long An (iii),Công ty Cổ phần Điện mặt trời TTC Đức Huệ - Long An (iii),Công ty Cổ phần Điện mặt trời TTC Đức Huệ - Long An (iii),"Tỉnh Long An, Việt Nam",Đang hoạt động,"Sản xuất, truyền tải và phân phối điện","83,6",-,,,,83.6,
Công ty Cổ phần Điện TTC Đức Huệ - Long An (iii),Công ty Cổ phần Điện TTC Đức Huệ - Long An (iii),Công ty Cổ phần Điện TTC Đức Huệ - Long An (iii),"Tỉnh Long An, Việt Nam",Đang hoạt động,"Sản xuất, truyền tải và phân phối điện","83,6",-,,,,83.6,
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,Hoạt động kiến trúc và tư vấn kỹ thuật điện có liên quan,"100,0","100,0",,,,100.0,100.0
Công ty Cổ phần Đầu tư Điện Tây Nguyên (“TIC”) (iv),Công ty Cổ phần Đầu tư Điện Tây Nguyên (“TIC”) (iv),Công ty Cổ phần Đầu tư Điện Tây Nguyên (“TIC”) (iv),"Tỉnh Gia Lai, Việt Nam",Chấm dứt hoạt động,"Sản xuất, truyền tải và phân phối điện",-,"59,1",,,,,59.1
Công ty TNHH Một thành viên la Lốp (v),Công ty TNHH Một thành viên la Lốp (v),Công ty TNHH Một thành viên la Lốp (v),"Tỉnh Gia Lai, Việt Nam",Đã thanh lý,"Sản xuất, truyền tải và phân phối điện",-,"100,0",,,,,100.0
