row_label_raw,row_label_full,Bên liên quan (Thuyết minh 32(b)),Số đầu năm VND > Bên liên quan (Thuyết minh 32(b)),Tăng VND > Bên liên quan (Thuyết minh 32(b)),Thu hồi nợ vay VND > Bên liên quan (Thuyết minh 32(b)),Số cuối năm VND > Bên liên quan (Thuyết minh 32(b)),numeric__Số đầu năm VND > Bên liên quan (Thuyết minh 32(b)),numeric__Tăng VND > Bên liên quan (Thuyết minh 32(b)),numeric__Thu hồi nợ vay VND > Bên liên quan (Thuyết minh 32(b)),numeric__Số cuối năm VND > Bên liên quan (Thuyết minh 32(b))
Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,,,,,,,,
Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất > Thương mại Tâm Bình An,Thương mại Tâm Bình An,-,61.000.000.000,(23.000.000.000),38.000.000.000,,61000000000.0,-23000000000.0,38000000000.0
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Sản xuất > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,-,32.000.000.000,-,32.000.000.000,,32000000000.0,,32000000000.0
Công ty Cổ phần Giao dịch,Công ty Cổ phần Giao dịch,Công ty Cổ phần Giao dịch,,,,,,,,
Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch > Hàng hóa Sơn Tín,Hàng hóa Sơn Tín,74.000.000.000,23.500.000.000,(74.000.000.000),23.500.000.000,74000000000.0,23500000000.0,-74000000000.0,23500000000.0
Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,,,,,,,,
Thương mại Bao bì,Thương mại Bao bì,Thương mại Bao bì,,,,,,,,
Thành Thành Công,Thương mại Bao bì > Thành Thành Công,Thành Thành Công,-,30.000.000.000,(30.000.000.000),-,,30000000000.0,-30000000000.0,
Công ty TNHH Mía đường,Công ty TNHH Mía đường,Công ty TNHH Mía đường,,,,,,,,
TTC Attapeu,Công ty TNHH Mía đường > TTC Attapeu,TTC Attapeu,-,500.000.000,(500.000.000),-,,500000000.0,-500000000.0,
,,,74.000.000.000,147.000.000.000,(127.500.000.000),93.500.000.000,74000000000.0,147000000000.0,-127500000000.0,93500000000.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,
Công ty Cổ phần Xây lắp và,Công ty Cổ phần Xây lắp và,Công ty Cổ phần Xây lắp và,,,,,,,,
Dịch vụ Cơ điện,Công ty Cổ phần Xây lắp và > Dịch vụ Cơ điện,Dịch vụ Cơ điện,343.858.552,-,-,343.858.552,343858552.0,,,343858552.0
,,,74.343.858.552,147.000.000.000,(127.500.000.000),93.843.858.552,74343858552.0,147000000000.0,-127500000000.0,93843858552.0
