row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Mối quan hệ > Bên liên quan khác,Nội dung nghiệp vụ > Ứng trước tiền hàng (Thuyết minh 6)Cho vayThu hồi khoản cho vayLãi cho vayLãi ứng trước tiền hàngDoanh thu bán hàng hóa và dịch vụ,Năm nay VND > 43.000.000.00023.500.000.00074.000.000.0003.107.556.9442.121.930.5573.561.023.867,Năm trước VND > -99.000.000.00032.000.000.0003.080.454.728,numeric__Mối quan hệ > Bên liên quan khác,numeric__Nội dung nghiệp vụ > Ứng trước tiền hàng (Thuyết minh 6)Cho vayThu hồi khoản cho vayLãi cho vayLãi ứng trước tiền hàngDoanh thu bán hàng hóa và dịch vụ,numeric__Năm nay VND > 43.000.000.00023.500.000.00074.000.000.0003.107.556.9442.121.930.5573.561.023.867,numeric__Năm trước VND > -99.000.000.00032.000.000.0003.080.454.728
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Bên liên quan khác,Cho vayThu hồi khoản cho vayLãi cho vay,61.000.000.00023.000.000.0003.187.200.000,-,,,6.100000000023e+31,
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,Bên liên quan khác,Cho vayLãi cho vay,32.000.000.0001.946.666.667,-,,,3.200000000019467e+20,
Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Công ty Cổ phần Sản xuất Thương mại Bao bì Thành Thành Công,Bên liên quan khác,Cho vayThu hồi khoản cho vayLãi cho vay,30.000.000.00030.000.000.0001.844.250.001,-,,,3.00000000003e+31,
Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Bên liên quan khác,Doanh thu bán hàng hóa và dịch vụ,10.203.254.726,-,,,10203254726.0,
