row_label_raw,row_label_full,Bên đi vay > Công ty Cổ phần Sản xuất Thương mại Tâm Bình An > Công ty Cổ phần Lộc Thổ > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Số cuối năm VND > 38.000.000.000 > 32.000.000.000 > 23.500.000.000,Thời hạn cho vay > 3 tháng - đến tháng 3 năm 2018 > 3 tháng - đến tháng 2 năm 2018,"Lãi suất %/năm > 10,0",Hình thức đảm bảo > (*) > (**),numeric__Số cuối năm VND > 38.000.000.000 > 32.000.000.000 > 23.500.000.000,numeric__Thời hạn cho vay > 3 tháng - đến tháng 3 năm 2018 > 3 tháng - đến tháng 2 năm 2018,"numeric__Lãi suất %/năm > 10,0",numeric__Hình thức đảm bảo > (*) > (**)
Công ty Cổ phần Xây lắp và Dịch vụ Cơ điện,Công ty Cổ phần Xây lắp và Dịch vụ Cơ điện,Công ty Cổ phần Xây lắp và Dịch vụ Cơ điện,343.858.552,Đã lập dự phòng,,,343858552.0,,,
,,,93.843.858.552,,,,93843858552.0,,,
