row_label_raw,row_label_full,col_0,Số đầu năm > Giá trịVND,Số đầu năm > Nhận nợVND,Số đầu năm > Hoàn trảVND,Số đầu năm > Phân loại lạiVND,Trong năm > Chênh lệch tỷ giáVND,Số cuối năm > Giá trịVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Nhận nợVND,numeric__Số đầu năm > Hoàn trảVND,numeric__Số đầu năm > Phân loại lạiVND,numeric__Trong năm > Chênh lệch tỷ giáVND,numeric__Số cuối năm > Giá trịVND
Vay dài hạn,Vay dài hạn,Vay dài hạn,2.591.340.920.822,3.125.838.629.000,-,(1.209.853.593.605),33.106.090.790,4.540.432.047.007,2591340920822.0,3125838629000.0,,-1209853593605.0,33106090790.0,4540432047007.0
Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2023 và 31 tháng 12 năm 2022.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2023 và 31 tháng 12 năm 2022.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2023 và 31 tháng 12 năm 2022.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2023 và 31 tháng 12 năm 2022.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2023 và 31 tháng 12 năm 2022.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2023 và 31 tháng 12 năm 2022.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2023 và 31 tháng 12 năm 2022.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2023 và 31 tháng 12 năm 2022.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2023 và 31 tháng 12 năm 2022.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,,,,,,
,,,,,,,Số cuối năm,Số đầu năm,,,,,,
,,,,,,,VND,VND,,,,,,
a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,,,,,,
Ngân hàng Thương mại Cổ phần Tiên Phong,a. Vay dài hạn đến hạn trả > Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,438.571.200.496,391.698.941.190,,,,,438571200496.0,391698941190.0
Ngân hàng Oversea-Chinese Banking Corporation,a. Vay dài hạn đến hạn trả > Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,115.815.919.349,37.873.080.000,,,,,115815919349.0,37873080000.0
Ngân hàng Wooribank Việt Nam,a. Vay dài hạn đến hạn trả > Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,103.701.892.856,54.456.027.256,,,,,103701892856.0,54456027256.0
Ngân hàng Thương mại Cổ phần Phương Đông,a. Vay dài hạn đến hạn trả > Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,93.458.831.004,90.908.766.600,,,,,93458831004.0,90908766600.0
Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,a. Vay dài hạn đến hạn trả > Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,85.272.516.298,83.658.420.646,,,,,85272516298.0,83658420646.0
Ngân hàng TNHH MTV Shinhan Việt Nam,a. Vay dài hạn đến hạn trả > Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,67.244.973.448,101.750.013.447,,,,,67244973448.0,101750013447.0
Ngân hàng Woori - Chi nhánh Hong Kong,a. Vay dài hạn đến hạn trả > Ngân hàng Woori - Chi nhánh Hong Kong,Ngân hàng Woori - Chi nhánh Hong Kong,Ngân hàng Woori - Chi nhánh Hong Kong,Ngân hàng Woori - Chi nhánh Hong Kong,Ngân hàng Woori - Chi nhánh Hong Kong,Ngân hàng Woori - Chi nhánh Hong Kong,63.010.637.760,-,,,,,63010637760.0,
Ngân hàng TMCP Ngoại thương - Chi nhánh Tây Sài Gòn,a. Vay dài hạn đến hạn trả > Ngân hàng TMCP Ngoại thương - Chi nhánh Tây Sài Gòn,Ngân hàng TMCP Ngoại thương - Chi nhánh Tây Sài Gòn,Ngân hàng TMCP Ngoại thương - Chi nhánh Tây Sài Gòn,Ngân hàng TMCP Ngoại thương - Chi nhánh Tây Sài Gòn,Ngân hàng TMCP Ngoại thương - Chi nhánh Tây Sài Gòn,Ngân hàng TMCP Ngoại thương - Chi nhánh Tây Sài Gòn,53.385.760.000,-,,,,,53385760000.0,
Tập đoàn Dầu khí Quốc gia Việt Nam,a. Vay dài hạn đến hạn trả > Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,50.862.841.914,67.912.508.336,,,,,50862841914.0,67912508336.0
Kasikornbank Public Company Limited- Thailand,a. Vay dài hạn đến hạn trả > Kasikornbank Public Company Limited- Thailand,Kasikornbank Public Company Limited- Thailand,Kasikornbank Public Company Limited- Thailand,Kasikornbank Public Company Limited- Thailand,Kasikornbank Public Company Limited- Thailand,Kasikornbank Public Company Limited- Thailand,37.362.600.000,-,,,,,37362600000.0,
Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,a. Vay dài hạn đến hạn trả > Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,13.883.944.000,13.883.944.000,,,,,13883944000.0,13883944000.0
Ông Nguyễn Hồng Hiệp,a. Vay dài hạn đến hạn trả > Ông Nguyễn Hồng Hiệp,Ông Nguyễn Hồng Hiệp,Ông Nguyễn Hồng Hiệp,Ông Nguyễn Hồng Hiệp,Ông Nguyễn Hồng Hiệp,Ông Nguyễn Hồng Hiệp,30.000.000.000,-,,,,,30000000000.0,
,,,,,,,1.152.571.117.125,842.141.701.475,,,,,1152571117125.0,842141701475.0
