row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tiền và các khoản tương đương tiền,Số cuối năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,979.225.965.598,-,-,979.225.965.598,979225965598.0,,,979225965598.0
Đầu tư tài chính,Số cuối năm > Đầu tư tài chính,Đầu tư tài chính,3.486.468.628.419,-,45.937.767.300,3.532.406.395.719,3486468628419.0,,45937767300.0,3532406395719.0
Phải thu khách hàng và phải thu khác,Số cuối năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.138.672.477.645,156.668.507.387,-,1.295.340.985.032,1138672477645.0,156668507387.0,,1295340985032.0
,,,5.604.367.071.662,156.668.507.387,45.937.767.300,5.806.973.346.349,5604367071662.0,156668507387.0,45937767300.0,5806973346349.0
Các khoản vay,Số cuối năm > Các khoản vay,Các khoản vay,1.387.771.910.484,3.389.342.331.409,1.151.089.715.598,5.928.203.957.491,1387771910484.0,3389342331409.0,1151089715598.0,5928203957491.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.010.034.113.250,242.854.692.751,155.112.234.668,1.408.001.040.669,1010034113250.0,242854692751.0,155112234668.0,1408001040669.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,137.331.269.596,-,-,137.331.269.596,137331269596.0,,,137331269596.0
,,,2.535.137.293.330,3.632.197.024.160,1.306.201.950.266,7.473.536.267.756,2535137293330.0,3632197024160.0,1306201950266.0,7473536267756.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,3.069.229.778.332,(3.475.528.516.773),(1.260.264.182.966),(1.666.562.921.407),3069229778332.0,-3475528516773.0,-1260264182966.0,-1666562921407.0
,,,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.793.749.749.410,-,-,1.793.749.749.410,1793749749410.0,,,1793749749410.0
Đầu tư tài chính,Số đầu năm > Đầu tư tài chính,Đầu tư tài chính,2.706.631.233.950,-,45.937.767.300,2.752.569.001.250,2706631233950.0,,45937767300.0,2752569001250.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.321.907.817.389,135.188.151.804,-,1.457.095.969.193,1321907817389.0,135188151804.0,,1457095969193.0
,,,5.822.288.800.749,135.188.151.804,45.937.767.300,6.003.414.719.853,5822288800749.0,135188151804.0,45937767300.0,6003414719853.0
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,1.099.431.218.656,2.261.185.653.160,330.155.267.662,3.690.772.139.478,1099431218656.0,2261185653160.0,330155267662.0,3690772139478.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.043.373.442.482,63.673.140.800,355.735.692.800,1.462.782.276.082,1043373442482.0,63673140800.0,355735692800.0,1462782276082.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,229.891.449.879,-,-,229.891.449.879,229891449879.0,,,229891449879.0
,,,2.372.696.111.017,2.324.858.793.960,685.890.960.462,5.383.445.865.439,2372696111017.0,2324858793960.0,685890960462.0,5383445865439.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,3.449.592.689.732,(2.189.670.642.156),(639.953.193.162),619.968.854.414,3449592689732.0,-2189670642156.0,-639953193162.0,619968854414.0
