row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,979.225.965.598,1.793.749.749.410,979225965598.0,1793749749410.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,3.532.406.395.719,2.752.569.001.250,3532406395719.0,2752569001250.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.295.340.985.032,1.457.095.969.193,1295340985032.0,1457095969193.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,5.806.973.346.349,6.003.414.719.853,5806973346349.0,6003414719853.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,5.928.203.957.491,3.690.772.139.478,5928203957491.0,3690772139478.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.408.001.040.669,1.462.782.276.082,1408001040669.0,1462782276082.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,137.331.269.596,229.891.449.879,137331269596.0,229891449879.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,7.473.536.267.756,5.383.445.865.439,7473536267756.0,5383445865439.0
