row_label_raw,row_label_full,col_0,Dịch vụ vận tảiVND,Dịch vụ kho nổiVND,Thương mạiVND,Dịch vụ khácVND,TổngVND,numeric__Dịch vụ vận tảiVND,numeric__Dịch vụ kho nổiVND,numeric__Thương mạiVND,numeric__Dịch vụ khácVND,numeric__TổngVND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu > Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,6.801.441.169.869,795.548.143.222,1.168.002.406.369,282.371.488.656,9.047.363.208.116,6801441169869.0,795548143222.0,1168002406369.0,282371488656.0,9047363208116.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,6.801.441.169.869,795.548.143.222,1.168.002.406.369,282.371.488.656,9.047.363.208.116,6801441169869.0,795548143222.0,1168002406369.0,282371488656.0,9047363208116.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,5.430.606.886.037,568.824.037.431,1.158.114.029.147,234.789.530.366,7.392.334.482.981,5430606886037.0,568824037431.0,1158114029147.0,234789530366.0,7392334482981.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,5.430.606.886.037,568.824.037.431,1.158.114.029.147,234.789.530.366,7.392.334.482.981,5430606886037.0,568824037431.0,1158114029147.0,234789530366.0,7392334482981.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,,,,,
Lợi nhuận gộp,Lợi nhuận gộp > Lợi nhuận gộp,Lợi nhuận gộp,1.370.834.283.832,226.724.105.791,9.888.377.222,47.581.958.290,1.655.028.725.135,1370834283832.0,226724105791.0,9888377222.0,47581958290.0,1655028725135.0
Chi phí không phân bổ,Lợi nhuận gộp > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(420.526.439.069),,,,,-420526439069.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận gộp > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,1.234.502.286.066,,,,,1234502286066.0
Doanh thu hoạt động tài chính,Lợi nhuận gộp > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,221.015.971.674,,,,,221015971674.0
Phần lãi trong công ty liên kết,Lợi nhuận gộp > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,27.864.503.193,,,,,27864503193.0
Lợi nhuận khác,Lợi nhuận gộp > Lợi nhuận khác,Lợi nhuận khác,,,,,287.514.470.995,,,,,287514470995.0
Chi phí tài chính,Lợi nhuận gộp > Chi phí tài chính,Chi phí tài chính,,,,,(314.025.500.758),,,,,-314025500758.0
Lợi nhuận trước thuế,Lợi nhuận gộp > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,1.456.871.731.170,,,,,1456871731170.0
Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận gộp > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(288.761.717.516),,,,,-288761717516.0
Thuế thu nhập doanh nghiệp hoãn lại,Lợi nhuận gộp > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,(12.262.929.912),,,,,-12262929912.0
Lợi nhuận trong năm,Lợi nhuận gộp > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,1.155.847.083.742,,,,,1155847083742.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,1.195.322.190.412,,,,,1195322190412.0
