row_label_raw,row_label_full,Số cuối năm,Dịch vụ vận tải > VND,Dịch vụ kho nối > VND,Thương mại > VND,Dịch vụ khác > VND,Tổng > VND,numeric__Dịch vụ vận tải > VND,numeric__Dịch vụ kho nối > VND,numeric__Thương mại > VND,numeric__Dịch vụ khác > VND,numeric__Tổng > VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,14.312.066.112.114,964.093.322.792,144.602.492.074,340.534.158.131,15.761.296.085.111,14312066112114.0,964093322792.0,144602492074.0,340534158131.0,15761296085111.0
Lãi từ công ty liên kết,Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,56.908.541.384,,,,,56908541384.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,1.671.748.808.258,,,,,1671748808258.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,17.489.953.434.753,,,,,17489953434753.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,7.797.473.191.830,240.384.417.453,110.821.687.631,160.989.562.593,8.309.668.859.507,7797473191830.0,240384417453.0,110821687631.0,160989562593.0,8309668859507.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,149.889.783.183,,,,,149889783183.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,8.459.558.642.690,,,,,8459558642690.0
Số đầu năm,Số đầu năm,Số đầu năm,Dịch vụ vận tải,Dịch vụ kho nối,Thương mại,Dịch vụ khác,Tổng,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,10.721.157.334.134,1.199.538.224.801,299.701.202.821,615.413.876.369,12.835.810.638.125,10721157334134.0,1199538224801.0,299701202821.0,615413876369.0,12835810638125.0
Lãi từ công ty liên kết,Số đầu năm > Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,54.646.263.619,,,,,54646263619.0
Tài sản không phân bổ,Số đầu năm > Tài sản không phân bổ,Tài sản không phân bổ,,,,,1.361.196.052.950,,,,,1361196052950.0
Tổng tài sản hợp nhất,Số đầu năm > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,14.251.652.954.694,,,,,14251652954694.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,5.408.540.972.046,313.125.264.306,257.281.890.126,50.161.192.465,6.029.109.318.943,5408540972046.0,313125264306.0,257281890126.0,50161192465.0,6029109318943.0
Nợ phải trả không phân bổ,Số đầu năm > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,208.484.861.781,,,,,208484861781.0
Tổng nợ phải trả hợp nhất,Số đầu năm > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,6.237.594.180.724,,,,,6237594180724.0
