row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > VNDGiá trị cótheế thu hồi,Số đầu năm > Giá gốc,Số đầu năm > VNDGiá trị cótheế thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > VNDGiá trị cótheế thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VNDGiá trị cótheế thu hồi
Đối tượng nợ,Đối tượng nợ,Đối tượng nợ,Đối tượng nợ,Đối tượng nợ,Đối tượng nợ,Đối tượng nợ,,,,
Bà Huỳnh Thị Huyền Như,Đối tượng nợ > Bà Huỳnh Thị Huyền Như,Bà Huỳnh Thị Huyền Như,76.443.955.664,-,77.610.499.530,-,76443955664.0,,77610499530.0,
Công ty Cổ phần Vận tải biến Anh Vũ,Đối tượng nợ > Công ty Cổ phần Vận tải biến Anh Vũ,Công ty Cổ phần Vận tải biến Anh Vũ,-,-,3.082.546.497,-,,,3082546497.0,
Đối tượng khác,Đối tượng nợ > Đối tượng khác,Đối tượng khác,23.356.117.131,19.474.402,25.349.654.480,350.424.516,23356117131.0,19474402.0,25349654480.0,350424516.0
,,,99.800.072.795,19.474.402,106.042.700.507,350.424.516,99800072795.0,19474402.0,106042700507.0,350424516.0
