row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải thu trong nămVND,Số đã thực thu trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải thu trong nămVND,numeric__Số đã thực thu trong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,18.995.773,-,-,18.995.773,18995773.0,,,18995773.0
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,12.508.007.181,-,12.508.007.181,,12508007181.0,,12508007181.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,383.427.946,-,17.476.597,365.951.349,383427946.0,,17476597.0,365951349.0
,,,402.423.719,12.508.007.181,17.476.597,12.892.954.303,402423719.0,12508007181.0,17476597.0,12892954303.0
,,,Số đầu nămVND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số cuối nămVND,,,,
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,10.596.819.369,166.703.054.968,155.926.721.487,21.373.152.850,10596819369.0,166703054968.0,155926721487.0,21373152850.0
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,1.906.310.343,1.906.310.343,-,,1906310343.0,1906310343.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,80.423.580.810,310.113.727.002,329.295.940.135,61.241.367.677,80423580810.0,310113727002.0,329295940135.0,61241367677.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.803.380.944,35.348.431.411,35.307.598.527,5.844.213.828,5803380944.0,35348431411.0,35307598527.0,5844213828.0
Thuế nhà thầu,b. Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,1.428.108,4.765.116.118,4.765.116.118,1.428.108,1428108.0,4765116118.0,4765116118.0,1428108.0
Thuế môn bài,b. Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,21.500.000,21.500.000,-,,21500000.0,21500000.0,
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,47.620.007,3.447.861.582,3.495.481.589,-,47620007.0,3447861582.0,3495481589.0,
,,,96.872.829.238,522.306.001.424,530.718.668.199,88.460.162.463,96872829238.0,522306001424.0,530718668199.0,88460162463.0
