row_label_raw,row_label_full,col_0,Dịch vụ vận tảiVND,Dịch vụ kho nổiVND,Thương mạiVND,Dịch vụ khácVND,TổngVND,numeric__Dịch vụ vận tảiVND,numeric__Dịch vụ kho nổiVND,numeric__Thương mạiVND,numeric__Dịch vụ khácVND,numeric__TổngVND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu > Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,7.667.033.273.032,599.347.202.161,772.531.838.565,517.067.078.465,9.555.979.392.223,7667033273032.0,599347202161.0,772531838565.0,517067078465.0,9555979392223.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,7.667.033.273.032,599.347.202.161,772.531.838.565,517.067.078.465,9.555.979.392.223,7667033273032.0,599347202161.0,772531838565.0,517067078465.0,9555979392223.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,6.107.288.321.007,372.363.287.403,762.742.147.498,475.090.046.781,7.717.483.802.689,6107288321007.0,372363287403.0,762742147498.0,475090046781.0,7717483802689.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,6.107.288.321.007,372.363.287.403,762.742.147.498,475.090.046.781,7.717.483.802.689,6107288321007.0,372363287403.0,762742147498.0,475090046781.0,7717483802689.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,,,,,
Lợi nhuận gộp,Lợi nhuận gộp > Lợi nhuận gộp,Lợi nhuận gộp,1.559.744.952.025,226.983.914.758,9.789.691.067,41.977.031.684,1.838.495.589.534,1559744952025.0,226983914758.0,9789691067.0,41977031684.0,1838495589534.0
Chi phí không phân bổ,Lợi nhuận gộp > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(423.411.842.925),,,,,-423411842925.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận gộp > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,1.415.083.746.609,,,,,1415083746609.0
Doanh thu hoạt động tài chính,Lợi nhuận gộp > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,370.986.529.940,,,,,370986529940.0
Phần lãi trong công ty liên kết,Lợi nhuận gộp > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,26.416.860.462,,,,,26416860462.0
Lợi nhuận khác,Lợi nhuận gộp > Lợi nhuận khác,Lợi nhuận khác,,,,,202.428.322.925,,,,,202428322925.0
Chi phí tài chính,Lợi nhuận gộp > Chi phí tài chính,Chi phí tài chính,,,,,(466.304.340.149),,,,,-466304340149.0
Lợi nhuận trước thuế,Lợi nhuận gộp > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,1.548.611.119.787,,,,,1548611119787.0
Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận gộp > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(310.113.727.002),,,,,-310113727002.0
Thuế thu nhập doanh nghiệp hoãn lại,Lợi nhuận gộp > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,(16.996.697.214),,,,,-16996697214.0
Lợi nhuận trong năm,Lợi nhuận gộp > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,1.221.500.695.571,,,,,1221500695571.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,1.354.303.769.919,,,,,1354303769919.0
