row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,8.459.558.642.690,6.237.594.180.724,,300.0,,8459558642690.0,6237594180724.0
I.,I.,I.,Nợ ngắn hạn,310,,3.392.213.586.806,3.055.301.138.729,,310.0,,3392213586806.0,3055301138729.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,794.247.268.814,812.143.687.203,,311.0,16.0,794247268814.0,812143687203.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,17,51.736.032.666,25.108.997.860,,312.0,17.0,51736032666.0,25108997860.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,11,88.460.162.463,96.872.829.238,,313.0,11.0,88460162463.0,96872829238.0
4.,4.,4.,Phải trả người lao động,314,,326.390.428.368,253.470.831.952,,314.0,,326390428368.0,253470831952.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,18,137.331.269.596,229.891.449.879,,315.0,18.0,137331269596.0,229891449879.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,30.283.517.530,23.711.207.002,,318.0,,30283517530.0,23711207002.0
7.,7.,7.,Phải trả ngắn hạn khác,319,19,218.679.556.177,234.247.457.518,,319.0,19.0,218679556177.0,234247457518.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,20,1.387.771.910.484,1.099.431.218.656,,320.0,20.0,1387771910484.0,1099431218656.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,21,216.924.608.203,156.361.456.312,,321.0,21.0,216924608203.0,156361456312.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,140.388.832.505,124.062.003.109,,322.0,,140388832505.0,124062003109.0
II.,II.,II.,Nợ dài hạn,330,,5.067.345.055.884,3.182.293.041.995,,330.0,,5067345055884.0,3182293041995.0
1.,1.,1.,Phải trả dài hạn khác,337,19,397.966.927.419,419.408.833.600,,337.0,19.0,397966927419.0,419408833600.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,22,4.540.432.047.007,2.591.340.920.822,,338.0,22.0,4540432047007.0,2591340920822.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,21,128.946.081.458,171.543.287.573,,342.0,21.0,128946081458.0,171543287573.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,9.030.394.792.063,8.014.058.773.970,,400.0,,9030394792063.0,8014058773970.0
I.,I.,I.,Vốn chủ sở hữu,410,23,9.030.394.792.063,8.014.058.773.970,,410.0,23.0,9030394792063.0,8014058773970.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.236.512.460.000,3.236.512.460.000,,411.0,,3236512460000.0,3236512460000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,,3.236.512.460.000,3.236.512.460.000,,,,3236512460000.0,3236512460000.0
2.,2.,2.,Vốn khác của chủ sở hữu,414,,230.287.240.000,100.007.210.000,,414.0,,230287240000.0,100007210000.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,1.461.254.641.549,1.129.153.667.912,,418.0,,1461254641549.0,1129153667912.0
4.,4.,4.,Quỹ khác thuộc vốn chủ sở hữu,420,,46.060.438.823,47.222.561.210,,420.0,,46060438823.0,47222561210.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,1.836.654.737.011,1.489.406.154.844,,421.0,,1836654737011.0,1489406154844.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,864.210.890.380,632.067.375.548,,,,864210890380.0,632067375548.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,972.443.846.631,857.338.779.296,,,,972443846631.0,857338779296.0
6.,6.,6.,Lợi ích cổ đông không kiểm soát,429,,2.219.625.274.680,2.011.756.720.004,,429.0,,2219625274680.0,2011756720004.0
