row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Đơn vị: VND > Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VND > Năm trước
III. LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
1.,III. LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,57.644.608.127,-,,31.0,57644608127.0,
2.,III. LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền thu từ đi vay,33,3.564.670.776.391,1.489.439.651.977,,33.0,3564670776391.0,1489439651977.0
3.,III. LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,Tiền trả nợ gốc vay,34,(1.368.329.636.005),(1.090.433.809.473),,34.0,-1368329636005.0,-1090433809473.0
4.,III. LU'U CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(171.852.133.700),(40.494.919.310),,36.0,-171852133700.0,-40494919310.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,2.082.133.614.813,358.510.923.194,,40.0,2082133614813.0,358510923194.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(818.378.604.178),510.614.505.344,,50.0,-818378604178.0,510614505344.0
,,,Tiền và tương đương tiền đầu năm,60,1.793.749.749.410,1.283.386.854.560,,60.0,1793749749410.0,1283386854560.0
,,,Ảnh hưởng của thay đối tỷ giá hối đoái quy đổi ngoại tệ,61,3.854.820.366,(251.610.494),,61.0,3854820366.0,-251610494.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,979.225.965.598,1.793.749.749.410,,70.0,979225965598.0,1793749749410.0
