row_label_raw,row_label_full,Mã số,BẢNG CẦN ĐỒI KẾ TOÁN RIENG,col_2,Ngày 31 tháng 12 năm 2014 (đã được trình bày trước đây),Trình bày lại,Đơn vị tính: VNDNgày 31 tháng 12 năm 2014 (được trình bày lại),numeric__BẢNG CẦN ĐỒI KẾ TOÁN RIENG,numeric__col_2,numeric__Ngày 31 tháng 12 năm 2014 (đã được trình bày trước đây),numeric__Trình bày lại,numeric__Đơn vị tính: VNDNgày 31 tháng 12 năm 2014 (được trình bày lại)
,,,Đầu tư ngắn hạn,(1),3.553.548.034.039,(3.553.548.034.039),(**),,-1.0,3553548034039.0,-3553548034039.0,
121,121,121,Chứng khoán kinh doanh,"(1),(4)",(*),849.923.454.039,849.923.454.039,,,,849923454039.0,849923454039.0
121,121,121,Dự phòng giảm giá đầu tư ngắn hạn,(2),(608.713.886.928),608.713.886.928,(**),,-2.0,-608713886928.0,608713886928.0,
122,122,122,Dự phòng giảm giá chứng khoán kinh doanh,"(2),(5)",(*),(260.382.727.700),(260.382.727.700),,,,-260382727700.0,-260382727700.0
123,123,123,Đầu tư nằm giữ đến ngày đắc hạn,"(1),(2)",(*),2.809.000.000.000,2.809.000.000.000,,,,2809000000000.0,2809000000000.0
131,131,131,Phải thu khách hàng,(3),274.051.211.629,204.454.956.600,478.506.168.229,,-3.0,274051211629.0,204454956600.0,478506168229.0
131,131,131,Phải thu từ các bên liên quan,(3),359.383.615.828,(359.383.615.828),(**),,-3.0,359383615828.0,-359383615828.0,
,,,Đầu tư dài hạn khác,(4),1.050.866.732.657,(1.050.866.732.657),(**),,-4.0,1050866732657.0,-1050866732657.0,
255,255,255,Đầu tư nằm giữ đến ngày đắc hạn,(4),(*),751.491.312.657,751.491.312.657,,-4.0,,751491312657.0,751491312657.0
255,255,255,Dự phòng giảm giá đầu tư tài chính dài hạn,(5),(1.093.881.589),1.093.881.589,(**),,-5.0,-1093881589.0,1093881589.0,
254,254,254,Dự phòng giảm giá đầu tư tài chính dài hạn,(5),(*),(496.381.589),(496.381.589),,-5.0,,-496381589.0,-496381589.0
,,,Phải trả các bên liên quan,(6),75.961.535.022,(75.961.535.022),(**),,-6.0,75961535022.0,-75961535022.0,
319,319,319,Phải trả ngắn hạn khác,(6),47.067.547.352,75.961.535.022,123.029.082.374,,-6.0,47067547352.0,75961535022.0,123029082374.0
