row_label_raw,row_label_full,31 tháng 12 năm 2015,Quá hạn > 31 tháng 12 năm 2015,Không xác định kỳ hạn > 31 tháng 12 năm 2015,Đến 01 năm > 31 tháng 12 năm 2015,Từ 01 - 03 năm > 31 tháng 12 năm 2015,Từ 03 - 05 năm > 31 tháng 12 năm 2015,Từ 05 - 15 năm > 31 tháng 12 năm 2015,Trên 15 năm > 31 tháng 12 năm 2015,Tổng cộng > 31 tháng 12 năm 2015,numeric__Quá hạn > 31 tháng 12 năm 2015,numeric__Không xác định kỳ hạn > 31 tháng 12 năm 2015,numeric__Đến 01 năm > 31 tháng 12 năm 2015,numeric__Từ 01 - 03 năm > 31 tháng 12 năm 2015,numeric__Từ 03 - 05 năm > 31 tháng 12 năm 2015,numeric__Từ 05 - 15 năm > 31 tháng 12 năm 2015,numeric__Trên 15 năm > 31 tháng 12 năm 2015,numeric__Tổng cộng > 31 tháng 12 năm 2015
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,102.066,-,-,-,-,102.066,,,102066.0,,,,,102066.0
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,584.369,-,-,-,-,-,584.369,,584369.0,,,,,,584369.0
Cổ phiếu niêm yết,Tài sản tài chính > Cổ phiếu niêm yết,Cổ phiếu niêm yết,-,259.007,-,-,-,-,-,259.007,,259007.0,,,,,,259007.0
Cổ phiếu chưa niêm yết,Tài sản tài chính > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,-,300.362,-,-,-,-,-,300.362,,300362.0,,,,,,300362.0
Chứng chỉ quỹ,Tài sản tài chính > Chứng chỉ quỹ,Chứng chỉ quỹ,-,25.000,-,-,-,-,-,25.000,,25000.0,,,,,,25000.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,18.000,-,2.274.695,535.820,1.100.200,310.000,-,4.238.715,18000.0,,2274695.0,535820.0,1100200.0,310000.0,,4238715.0
Hợp đồng tiền gửi,Tài sản tài chính > Hợp đồng tiền gửi,Hợp đồng tiền gửi,-,-,1.665.367,57.320,-,-,-,1.722.687,,,1665367.0,57320.0,,,,1722687.0
Trái phiếu,Tài sản tài chính > Trái phiếu,Trái phiếu,18.000,-,609.328,478.500,1.100.200,310.000,,2.516.028,18000.0,,609328.0,478500.0,1100200.0,310000.0,,2516028.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,-,-,346.669,-,-,-,-,346.669,,,346669.0,,,,,346669.0
Phải thu từ các bên liên quan,Tài sản tài chính > Phải thu từ các bên liên quan,Phải thu từ các bên liên quan,-,-,341.501,-,-,-,-,341.501,,,341501.0,,,,,341501.0
Phải thu cổ tức,Tài sản tài chính > Phải thu cổ tức,Phải thu cổ tức,-,-,538,-,-,-,-,538,,,538.0,,,,,538.0
Phải thu khác,Tài sản tài chính > Phải thu khác,Phải thu khác,-,-,4.630,-,-,-,-,4.630,,,4630.0,,,,,4630.0
Tổng,Tài sản tài chính > Tổng,Tổng,18.000,584.369,2.723.430,535.820,1.100.200,310.000,-,5.271.819,18000.0,584369.0,2723430.0,535820.0,1100200.0,310000.0,,5271819.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
Phải trả các bên liên quan,Nợ phải trả tài chính > Phải trả các bên liên quan,Phải trả các bên liên quan,-,-,1.550,-,-,-,-,1.550,,,1550.0,,,,,1550.0
Phải trả về hoạt động đầu tư tài chính,Nợ phải trả tài chính > Phải trả về hoạt động đầu tư tài chính,Phải trả về hoạt động đầu tư tài chính,-,-,9.641,-,-,-,-,9.641,,,9641.0,,,,,9641.0
Phải trả thương mại,Nợ phải trả tài chính > Phải trả thương mại,Phải trả thương mại,-,-,5.782,-,-,-,-,5.782,,,5782.0,,,,,5782.0
Phải trả thương mại khác,Nợ phải trả tài chính > Phải trả thương mại khác,Phải trả thương mại khác,-,-,44.957,-,-,-,-,44.957,,,44957.0,,,,,44957.0
Tổng,Nợ phải trả tài chính > Tổng,Tổng,-,-,61.930,-,-,-,-,61.930,,,61930.0,,,,,61930.0
