row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2015,Ngày 31 tháng 12 năm 2014,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2015,numeric__Ngày 31 tháng 12 năm 2014
300,300,300,C. NỘ PHẢI TRẢ,,397.739.317.623,190.000.425.470,,,397739317623.0,190000425470.0
310,310,310,I. Nợ ngắn hạn,,397.739.317.623,190.000.425.470,,,397739317623.0,190000425470.0
311,311,311,1. Phải trả người bán ngắn hạn,,5.782.492.606,3.873.215.117,,,5782492606.0,3873215117.0
313,313,313,2. Thuế và các khoản phải nộp Nhà nước,11,850.168.780,10.078.250.244,,11.0,850168780.0,10078250244.0
314,314,314,3. Phải trả người lao động,12,17.434.858.724,23.262.504.338,,12.0,17434858724.0,23262504338.0
318,318,318,4. Doanh thu chưa thực hiện ngắn hạn,,-,1.050.000.057,,,,1050000057.0
319,319,319,5. Phải trả ngắn hạn khác,13,56.516.913.154,123.029.082.374,,13.0,56516913154.0,123029082374.0
322,322,322,"6. Quỹ khen thưởng, phúc lợi",14,42.095.343.304,28.707.373.340,,14.0,42095343304.0,28707373340.0
324,324,324,7. Giao dịch mua bán lại trái phiếu Chính phủ,15,275.059.541.055,-,,15.0,275059541055.0,
400,400,400,D. VỐN CHỦ SỞ HỮU,,11.758.507.118.180,11.538.633.201.553,,,11758507118180.0,11538633201553.0
410,410,410,I. Vốn chủ sở hữu,16,11.758.507.118.180,11.538.633.201.553,,16.0,11758507118180.0,11538633201553.0
411,411,411,1. Vốn góp của chủ sở hữu,,6.804.714.340.000,6.804.714.340.000,,,6804714340000.0,6804714340000.0
411a,411a,411a,Cổ phiếu phổ thông có quyền biểu quyết,,6.804.714.340.000,6.804.714.340.000,,,6804714340000.0,6804714340000.0
411b,411b,411b,Cổ phiếu ưu đãi,,-,-,,,,
412,411b > 412,412,2. Thắng dư vốn cổ phần,,3.184.332.381.197,3.184.332.381.197,,,3184332381197.0,3184332381197.0
418,411b > 418,418,3. Quỹ đầu tư phát triển,,112.135.049.926,-,,,112135049926.0,
421,411b > 421,421,4. Lợi nhuận sau thuế chưa phân phối,,1.657.325.347.057,1.549.586.480.356,,,1657325347057.0,1549586480356.0
421a,411b > 421a,421a,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,656.058.451.496,429.381.245.268,,,656058451496.0,429381245268.0
421b,411b > 421b,421b,Lợi nhuận sau thuế chưa phân phối năm nay,,1.001.266.895.561,1.120.205.235.088,,,1001266895561.0,1120205235088.0
440,411b > 440,440,TỔNG CỘNG NGUỒN VỐN,,12.156.246.435.803,11.728.633.627.023,,,12156246435803.0,11728633627023.0
