row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2015 > Giá gốc,Tại ngày 31 tháng 12 năm 2015 > Giá trị thuần,Tại ngày 31 tháng 12 năm 2015 > Dự phòng,Tại ngày 31 tháng 12 năm 2014 > Giá gốc,Tại ngày 31 tháng 12 năm 2014 > Giá trị thuần,Tại ngày 31 tháng 12 năm 2014 > Dự phòng,numeric__Tại ngày 31 tháng 12 năm 2015 > Giá gốc,numeric__Tại ngày 31 tháng 12 năm 2015 > Giá trị thuần,numeric__Tại ngày 31 tháng 12 năm 2015 > Dự phòng,numeric__Tại ngày 31 tháng 12 năm 2014 > Giá gốc,numeric__Tại ngày 31 tháng 12 năm 2014 > Giá trị thuần,numeric__Tại ngày 31 tháng 12 năm 2014 > Dự phòng
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,,,
CMG,Cổ phiếu niêm yết > CMG,CMG,144.000.000.000,50.540.800.000,(93.459.200.000),144.000.000.000,30.188.800.000,(113.811.200.000),144000000000.0,50540800000.0,-93459200000.0,144000000000.0,30188800000.0,-113811200000.0
VCB,Cổ phiếu niêm yết > VCB,VCB,108.814.100.000,82.180.404.900,(26.633.695.100),108.814.100.000,59.716.512.900,(49.097.587.100),108814100000.0,82180404900.0,-26633695100.0,108814100000.0,59716512900.0,-49097587100.0
Khác,Cổ phiếu niêm yết > Khác,Khác,181.652.573.361,126.285.388.537,(55.367.184.824),199.483.934.039,155.701.558.239,(43.782.375.800),181652573361.0,126285388537.0,-55367184824.0,199483934039.0,155701558239.0,-43782375800.0
,,,434.466.673.361,259.006.593.437,(175.460.079.924),452.298.034.039,245.606.871.139,(206.691.162.900),434466673361.0,259006593437.0,-175460079924.0,452298034039.0,245606871139.0,-206691162900.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,,,
SSG,Cổ phiếu chưa niêm yết > SSG,SSG,225.000.000.000,225.000.000.000,-,225.000.000.000,225.000.000.000,-,225000000000.0,225000000000.0,,225000000000.0,225000000000.0,
Khác,Cổ phiếu chưa niêm yết > Khác,Khác,147.625.420.000,75.361.892.717,(72.263.527.283),147.625.420.000,94.531.355.200,(53.094.064.800),147625420000.0,75361892717.0,-72263527283.0,147625420000.0,94531355200.0,-53094064800.0
,,,372.625.420.000,300.361.892.717,(72.263.527.283),372.625.420.000,319.531.355.200,(53.094.064.800),372625420000.0,300361892717.0,-72263527283.0,372625420000.0,319531355200.0,-53094064800.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,,,
Chứng chỉ quỹ,Chứng chỉ quỹ > Chứng chỉ quỹ,Chứng chỉ quỹ,25.000.000.000,25.000.000.000,-,25.000.000.000,24.402.500.000,(597.500.000),25000000000.0,25000000000.0,,25000000000.0,24402500000.0,-597500000.0
,,,25.000.000.000,25.000.000.000,-,25.000.000.000,24.402.500.000,(597.500.000),25000000000.0,25000000000.0,,25000000000.0,24402500000.0,-597500000.0
,,,832.092.093.361,584.368.486.154,(247.723.607.207),849.923.454.039,589.540.726.339,(260.382.727.700),832092093361.0,584368486154.0,-247723607207.0,849923454039.0,589540726339.0,-260382727700.0
