row_label_raw,row_label_full,31 tháng 12 năm 2014,Quá hạn > 31 tháng 12 năm 2014,Không xác định kỳ hạn > 31 tháng 12 năm 2014,Đến 01 năm > 31 tháng 12 năm 2014,Từ 01 - 03 năm > 31 tháng 12 năm 2014,Từ 03 - 05 năm > 31 tháng 12 năm 2014,Từ 05 - 15 năm > 31 tháng 12 năm 2014,Trên 15 năm > 31 tháng 12 năm 2014,Tổng cộng > 31 tháng 12 năm 2014,numeric__Quá hạn > 31 tháng 12 năm 2014,numeric__Không xác định kỳ hạn > 31 tháng 12 năm 2014,numeric__Đến 01 năm > 31 tháng 12 năm 2014,numeric__Từ 01 - 03 năm > 31 tháng 12 năm 2014,numeric__Từ 03 - 05 năm > 31 tháng 12 năm 2014,numeric__Từ 05 - 15 năm > 31 tháng 12 năm 2014,numeric__Trên 15 năm > 31 tháng 12 năm 2014,numeric__Tổng cộng > 31 tháng 12 năm 2014
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,51.106,-,-,-,-,51.106,,,51106.0,,,,,51106.0
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,589.541,-,-,-,-,-,589.541,,589541.0,,,,,,589541.0
Cổ phiếu niêm yết,Tài sản tài chính > Cổ phiếu niêm yết,Cổ phiếu niêm yết,-,245.607,-,-,-,-,-,245.607,,245607.0,,,,,,245607.0
Cổ phiếu chưa niêm yết,Tài sản tài chính > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,-,319.531,-,-,-,-,-,319.531,,319531.0,,,,,,319531.0
Chứng chỉ quỹ,Tài sản tài chính > Chứng chỉ quỹ,Chứng chỉ quỹ,-,24.403,-,-,-,-,-,24.403,,24403.0,,,,,,24403.0
Đầu tư nằm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,30.000,-,3.026.049,462.284,101.850,333.600,-,3.953.783,30000.0,,3026049.0,462284.0,101850.0,333600.0,,3953783.0
Hợp đồng tiền gửi,Tài sản tài chính > Hợp đồng tiền gửi,Hợp đồng tiền gửi,-,-,2.815.824,168.084,-,-,-,2.983.908,,,2815824.0,168084.0,,,,2983908.0
Trái phiếu,Tài sản tài chính > Trái phiếu,Trái phiếu,30.000,-,210.225,294.200,101.850,333.600,-,969.875,30000.0,,210225.0,294200.0,101850.0,333600.0,,969875.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,-,-,361.105,-,-,-,-,361.105,,,361105.0,,,,,361105.0
Phải thu từ các bên liên quan,Tài sản tài chính > Phải thu từ các bên liên quan,Phải thu từ các bên liên quan,-,-,359.384,-,-,-,-,359.384,,,359384.0,,,,,359384.0
Phải thu khác,Tài sản tài chính > Phải thu khác,Phải thu khác,-,-,1.721,-,-,-,-,1.721,,,1721.0,,,,,1721.0
Tổng,Tài sản tài chính > Tổng,Tổng,30.000,589.541,3.438.260,462.284,101.850,333.600,-,4.955.535,30000.0,589541.0,3438260.0,462284.0,101850.0,333600.0,,4955535.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
Phải trả các bên liên quan,Nợ phải trả tài chính > Phải trả các bên liên quan,Phải trả các bên liên quan,-,-,75.962,-,-,-,-,75.962,,,75962.0,,,,,75962.0
Phải trả về hoạt động đầu tư tài chính,Nợ phải trả tài chính > Phải trả về hoạt động đầu tư tài chính,Phải trả về hoạt động đầu tư tài chính,-,-,9.761,-,-,-,-,9.761,,,9761.0,,,,,9761.0
Phải trả thương mại,Nợ phải trả tài chính > Phải trả thương mại,Phải trả thương mại,-,-,3.873,-,-,-,-,3.873,,,3873.0,,,,,3873.0
Phải trả thương mại khác,Nợ phải trả tài chính > Phải trả thương mại khác,Phải trả thương mại khác,-,-,36.893,-,-,-,-,36.893,,,36893.0,,,,,36893.0
Tổng,Nợ phải trả tài chính > Tổng,Tổng,-,-,126.489,-,-,-,-,126.489,,,126489.0,,,,,126489.0
