row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014
21,21,21,1. Doanh thu hoạt động kinh doanh,17,1.315.499.323.457,1.339.138.314.179,,17.0,1315499323457.0,1339138314179.0
22,22,22,2. Chi phí hoạt động kinh doanh,18,(41.374.514.517),40.258.998.004,,18.0,-41374514517.0,40258998004.0
24,24,24,3. Lợi nhuận gộp từ hoạt động kinh doanh,,1.274.124.808.940,1.379.397.312.183,,,1274124808940.0,1379397312183.0
26,26,26,4. Chi phí quản lý doanh nghiệp,19,(255.168.458.474),(204.959.548.654),,19.0,-255168458474.0,-204959548654.0
30,30,30,5. Lợi nhuận thuần từ hoạt động kinh doanh,,1.018.956.350.466,1.174.437.763.529,,,1018956350466.0,1174437763529.0
31,31,31,6. Thu nhập khác,,1.271.450.311,1.016.965.953,,,1271450311.0,1016965953.0
32,32,32,7. Chi phí khác,,465.661.032,-,,,465661032.0,
40,40,40,8. Lợi nhuận khác,,1.737.111.343,1.016.965.953,,,1737111343.0,1016965953.0
50,50,50,9. Tổng lợi nhuận kế toán trước thuế,,1.020.693.461.809,1.175.454.729.482,,,1020693461809.0,1175454729482.0
51,51,51,10. Chi phí thuế TNDN hiện hành,20.1,(22.110.864.114),(53.068.030.227),,201.0,-22110864114.0,-53068030227.0
52,52,52,11. Thu nhập/(Chi phí) thuế TNDN hoãn lại,20.2,3.788.380.000,(1.036.200.000),,202.0,3788380000.0,-1036200000.0
60,60,60,12. Lợi nhuận sau thuế thu nhập doanh nghiệp,,1.002.370.977.695,1.121.350.499.255,,,1002370977695.0,1121350499255.0
