row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2014,Chưa quá hạn và không giảm giá trị > Ngày 31 tháng 12 năm 2014,Quá hạn nhưng không giảm giá trị riêng biết > Ngày 31 tháng 12 năm 2014,Bị giảm giá trị riêng biết (*) > Ngày 31 tháng 12 năm 2014,Đơn vị tính: VND > Ngày 31 tháng 12 năm 2014,numeric__Chưa quá hạn và không giảm giá trị > Ngày 31 tháng 12 năm 2014,numeric__Quá hạn nhưng không giảm giá trị riêng biết > Ngày 31 tháng 12 năm 2014,numeric__Bị giảm giá trị riêng biết (*) > Ngày 31 tháng 12 năm 2014,numeric__Đơn vị tính: VND > Ngày 31 tháng 12 năm 2014
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,51.106.195.242,-,-,51.106.195.242,51106195242.0,,,51106195242.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,3.553.854.364.984,-,124.709.500.000,3.678.563.864.984,3553854364984.0,,124709500000.0,3678563864984.0
- Hợp đồng tiến gửi,- Hợp đồng tiến gửi,- Hợp đồng tiến gửi,2.875.066.461.054,-,-,2.875.066.461.054,2875066461054.0,,,2875066461054.0
- Trải phiếu,- Trải phiếu,- Trải phiếu,678.787.903.930,-,124.709.500.000,803.497.403.930,678787903930.0,,124709500000.0,803497403930.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,361.105.039.568,-,-,361.105.039.568,361105039568.0,,,361105039568.0
- Phải thu từ các bên liên quan,- Phải thu từ các bên liên quan,- Phải thu từ các bên liên quan,359.383.615.828,-,-,359.383.615.828,359383615828.0,,,359383615828.0
- Phải thu khác,- Phải thu khác,- Phải thu khác,1.721.423.740,-,-,1.721.423.740,1721423740.0,,,1721423740.0
Tổng,Tổng,Tổng,3.966.065.599.794,-,124.709.500.000,4.090.775.099.794,3966065599794.0,,124709500000.0,4090775099794.0
