row_label_raw,row_label_full,col_0,Ngày 01 tháng01 năm 2015VND,Số trích thêmtrong năm (*)VND,Số đã sử dụngtrong nămVND,Ngày 31 tháng12 năm 2015VND,numeric__Ngày 01 tháng01 năm 2015VND,numeric__Số trích thêmtrong năm (*)VND,numeric__Số đã sử dụngtrong nămVND,numeric__Ngày 31 tháng12 năm 2015VND
Quỹ khen thưởng,Quỹ khen thưởng,Quỹ khen thưởng,18.912.392.237,17.037.410.955,(21.603.287.952),14.346.515.240,18912392237.0,17037410955.0,-21603287952.0,14346515240.0
Quỹ phúc lợi,Quỹ phúc lợi,Quỹ phúc lợi,9.794.981.103,72.670.628.986,(54.716.782.025),27.748.828.064,9794981103.0,72670628986.0,-54716782025.0,27748828064.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,28.707.373.340,89.708.039.941,(76.320.069.977),42.095.343.304,28707373340.0,89708039941.0,-76320069977.0,42095343304.0
