row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,95.961.742.100,88.628.012.951,95961742100.0,88628012951.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,729.666.000,694.529.765,729666000.0,694529765.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,2.527.154.729,2.111.965.743,2527154729.0,2111965743.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,52.361.596.444,30.076.435.206,52361596444.0,30076435206.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",13.872.976,87.390.786,13872976.0,87390786.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,13.199.484.662,10.291.966.100,13199484662.0,10291966100.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,5.865.998.230,4.409.559.000,5865998230.0,4409559000.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,51.318.538.576,38.513.044.858,51318538576.0,38513044858.0
Chi phí quản lý khác,Chi phí quản lý khác,Chi phí quản lý khác,33.190.404.757,30.146.644.245,33190404757.0,30146644245.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,255.168.458.474,204.959.548.654,255168458474.0,204959548654.0
