row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2015VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.020.693.461.809,1.175.454.729.482,1020693461809.0,1175454729482.0
"Các khoản điều chỉnh giảm:- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia, chênh lệch tỷ giá chưa thực hiện","Các khoản điều chỉnh giảm:- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia, chênh lệch tỷ giá chưa thực hiện","Các khoản điều chỉnh giảm:- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia, chênh lệch tỷ giá chưa thực hiện",(940.278.910.592),(936.305.076.718),-940278910592.0,-936305076718.0
- Điều chỉnh chi phí các năm trước,- Điều chỉnh chi phí các năm trước,- Điều chỉnh chi phí các năm trước,(608.625.243),-,-608625243.0,
Các khoản điều chỉnh tăng:- Chênh lệch tạm thời chi phí dự phòng tài chính,Các khoản điều chỉnh tăng:- Chênh lệch tạm thời chi phí dự phòng tài chính,Các khoản điều chỉnh tăng:- Chênh lệch tạm thời chi phí dự phòng tài chính,18.941.900.000,-,18941900000.0,
- Chi phí không được khấu trừ thuế,- Chi phí không được khấu trừ thuế,- Chi phí không được khấu trừ thuế,734.576.409,2.068.666.449,734576409.0,2068666449.0
Thu nhập chịu thuế uрок tính trong năm,Thu nhập chịu thuế uрок tính trong năm,Thu nhập chịu thuế uрок tính trong năm,99.482.402.383,241.218.319.213,99482402383.0,241218319213.0
Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,22%,22%,0.22,0.22
Thuế TNDN phải trả uрок tính trên thu nhập chịu thuế,Thuế TNDN phải trả uрок tính trên thu nhập chịu thuế,Thuế TNDN phải trả uрок tính trên thu nhập chịu thuế,21.886.128.524,53.068.030.227,21886128524.0,53068030227.0
Điều chỉnh thuế phải trả các năm trước,Điều chỉnh thuế phải trả các năm trước,Điều chỉnh thuế phải trả các năm trước,224.735.590,-,224735590.0,
Thuế TNDN phải trả uрок tính trong năm,Thuế TNDN phải trả uрок tính trong năm,Thuế TNDN phải trả uрок tính trong năm,22.110.864.114,53.068.030.227,22110864114.0,53068030227.0
Thuế TNDN (có thể thu hồi)/ phải trả đầu năm,Thuế TNDN (có thể thu hồi)/ phải trả đầu năm,Thuế TNDN (có thể thu hồi)/ phải trả đầu năm,(6.039.678.031),22.380.565.186,-6039678031.0,22380565186.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(22.347.413.129),(81.488.273.444),-22347413129.0,-81488273444.0
Thuế TNDN có thể thu hồi cuối năm,Thuế TNDN có thể thu hồi cuối năm,Thuế TNDN có thể thu hồi cuối năm,(6.276.227.046),(6.039.678.031),-6276227046.0,-6039678031.0
