row_label_raw,row_label_full,31 tháng 12 năm 2015,Giá trị ghi số VND > 31 tháng 12 năm 2015,Giá trị hợp lý VND > 31 tháng 12 năm 2015,numeric__Giá trị ghi số VND > 31 tháng 12 năm 2015,numeric__Giá trị hợp lý VND > 31 tháng 12 năm 2015
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả các bên có liên quan,Nợ phải trả tài chính > Phải trả các bên có liên quan,Phải trả các bên có liên quan,1.549.741.027,1.549.741.027,1549741027.0,1549741027.0
Phải trả tiền đặt cọc,Nợ phải trả tài chính > Phải trả tiền đặt cọc,Phải trả tiền đặt cọc,9.640.612.441,9.640.612.441,9640612441.0,9640612441.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,5.782.492.606,5.782.492.606,5782492606.0,5782492606.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,44.957.384.535,44.957.384.535,44957384535.0,44957384535.0
,,,61.930.230.609,61.930.230.609,61930230609.0,61930230609.0
31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả các có bên liên quan,Nợ phải trả tài chính > Phải trả các có bên liên quan,Phải trả các có bên liên quan,75.961.535.022,75.961.535.022,75961535022.0,75961535022.0
Phải trả tiền đặt cọc,Nợ phải trả tài chính > Phải trả tiền đặt cọc,Phải trả tiền đặt cọc,9.760.513.442,9.760.513.442,9760513442.0,9760513442.0
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,3.873.215.117,3.873.215.117,3873215117.0,3873215117.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,36.893.210.574,36.893.210.574,36893210574.0,36893210574.0
,,,126.488.474.155,126.488.474.155,126488474155.0,126488474155.0
