row_label_raw,row_label_full,Mã số doanh nghiệp:,0100111761,numeric__0100111761
Tên doanh nghiệp:,Tên doanh nghiệp:,Tên doanh nghiệp:,Tập đoàn Bảo Việt,
Địa chỉ trụ sở chính:,Địa chỉ trụ sở chính:,Địa chỉ trụ sở chính:,"8 Lệ Thái Tổ, phường Hàng Trống, quận Hoàn Kiểm, Hà Nội",
Ngành nghề kinh doanh:,Ngành nghề kinh doanh:,Ngành nghề kinh doanh:,"Đầu tư vốn vào các công ty con, công ty liên kết; kinh doanh dịch vụ tài chính và các lĩnh vực khác theo quy định của pháp luật; hoạt động kinh doanh bất động sản; hoạt động dịch vụ công nghệ thông tin; dịch vụ hỗ trợ giáo dục...",
Vốn điều lệ:,Vốn điều lệ:,Vốn điều lệ:,6.804.714.340.000 đồng Việt Nam,
Số cổ phần đã đăng ký:,Vốn điều lệ: > Số cổ phần đã đăng ký:,Số cổ phần đã đăng ký:,680.471.434,680471434.0
Cổ đông sáng lập:,Cổ đông sáng lập:,Cổ đông sáng lập:,Bộ Tài chính; Tổng Công ty Đầu tư và kinh doanh vốn Nhà nước (SCIC); HSBC Insurance (Asia Pacific) Holdings Limited,
