row_label_raw,row_label_full,col_0,Giá trị ghi số > Nguyên giá VND,Giá trị ghi số > Dự phòng giảm giá trị VND,Giá trị ghi số > Tổng VND,Giá trị hợp lý > VND,numeric__Giá trị ghi số > Nguyên giá VND,numeric__Giá trị ghi số > Dự phòng giảm giá trị VND,numeric__Giá trị ghi số > Tổng VND,numeric__Giá trị hợp lý > VND
Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,,,,
Chủng khoán kinh doanh,Tải sản tài chính > Chủng khoán kinh doanh,Chủng khoán kinh doanh,849.923.454.039,(260.382.727.700),589.540.726.339,724.820.472.064,849923454039.0,-260382727700.0,589540726339.0,724820472064.0
- Cổ phiếu niêm yết,Tải sản tài chính > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,452.298.034.039,(206.691.162.900),245.606.871.139,481.047.477.100,452298034039.0,-206691162900.0,245606871139.0,481047477100.0
- Cổ phiếu chưa niêm yết,Tải sản tài chính > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,372.625.420.000,(53.094.064.800),319.531.355.200,219.370.494.964,372625420000.0,-53094064800.0,319531355200.0,219370494964.0
- Chứng chỉ quỹ,Tải sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,25.000.000.000,(597.500.000),24.402.500.000,24.402.500.000,25000000000.0,-597500000.0,24402500000.0,24402500000.0
Đầu tư nằm giữ đến ngày đáo hạn,Tải sản tài chính > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,3.872.563.864.984,(194.000.000.000),3.678.563.864.984,3.614.863.511.819,3872563864984.0,-194000000000.0,3678563864984.0,3614863511819.0
- Hợp đồng tiền gửi,Tải sản tài chính > - Hợp đồng tiền gửi,- Hợp đồng tiền gửi,3.039.066.461.054,(164.000.000.000),2.875.066.461.054,2.889.975.895.299,3039066461054.0,-164000000000.0,2875066461054.0,2889975895299.0
- Trái phiếu,Tải sản tài chính > - Trái phiếu,- Trái phiếu,833.497.403.930,(30.000.000.000),803.497.403.930,724.887.616.520,833497403930.0,-30000000000.0,803497403930.0,724887616520.0
Tài sản tài chính khác,Tải sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,361.105.039.568,-,361.105.039.568,361.105.039.568,361105039568.0,,361105039568.0,361105039568.0
- Phải thu từ các bên liên quan,Tải sản tài chính > - Phải thu từ các bên liên quan,- Phải thu từ các bên liên quan,359.383.615.828,-,359.383.615.828,359.383.615.828,359383615828.0,,359383615828.0,359383615828.0
- Phải thu khác,Tải sản tài chính > - Phải thu khác,- Phải thu khác,1.721.423.740,-,1.721.423.740,1.721.423.740,1721423740.0,,1721423740.0,1721423740.0
Tiền và các khoản tương đương tiền,Tải sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,51.106.195.242,-,51.106.195.242,51.106.195.242,51106195242.0,,51106195242.0,51106195242.0
,,,5.134.698.553.833,(454.382.727.700),4.680.315.826.133,4.751.895.218.693,5134698553833.0,-454382727700.0,4680315826133.0,4751895218693.0
