row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,MS,TM,31/12/2018VND,01/01/2018VND,numeric__NGUỒN VỐN_1,numeric__MS,numeric__TM,numeric__31/12/2018VND,numeric__01/01/2018VND
C-,C-,C-,NỘ PHẢI TRẢ,300,,4.839.773.750.599,4.487.330.344.107,,300.0,,4839773750599.0,4487330344107.0
I.,I.,I.,Nợ ngắn hạn,310,,2.470.170.082.838,1.744.147.185.528,,310.0,,2470170082838.0,1744147185528.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.13,374.062.025.578,217.290.366.190,,311.0,513.0,374062025578.0,217290366190.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,5.14,991.250.596.903,4.428.153.988,,312.0,514.0,991250596903.0,4428153988.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.15,98.283.432.593,66.865.846.663,,313.0,515.0,98283432593.0,66865846663.0
4.,4.,4.,Phải trả người lao động,314,,3.400.840.103,2.673.727.615,,314.0,,3400840103.0,2673727615.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,5.16,85.068.527.314,112.599.765.178,,315.0,516.0,85068527314.0,112599765178.0
9.,9.,9.,Phải trả ngắn hạn khác,319,5.17,289.231.904.803,1.140.084.201.210,,319.0,517.0,289231904803.0,1140084201210.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,5.18,617.316.306.840,194.632.987.948,,320.0,518.0,617316306840.0,194632987948.0
12.,12.,12.,Quỹ khen thưởng phúc lợi,322,,11.556.448.704,5.572.136.736,,322.0,,11556448704.0,5572136736.0
II.,II.,II.,Nợ dài hạn,330,,2.369.603.667.761,2.743.183.158.579,,330.0,,2369603667761.0,2743183158579.0
2.,2.,2.,Người mua trả tiền trước dài hạn,332,5.14,382.337.828.378,531.483.401.460,,332.0,514.0,382337828378.0,531483401460.0
7.,7.,7.,Phải trả dài hạn khác,337,5.17,339.721.685.091,543.911.379.296,,337.0,517.0,339721685091.0,543911379296.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,5.18,1.644.481.432.421,1.667.788.377.823,,338.0,518.0,1644481432421.0,1667788377823.0
11.,11.,11.,Thuế thu nhập hoãn lại phải trả,341,,3.062.721.871,-,,341.0,,3062721871.0,
D-,D-,D-,VỐN CHỦ SỞ HỮU(400 = 410+430),400,,2.558.558.428.786,2.088.693.011.124,,400.0,,2558558428786.0,2088693011124.0
I-,I-,I-,Vốn chủ sở hữu,410,5.19,2.558.558.428.786,2.088.693.011.124,,410.0,519.0,2558558428786.0,2088693011124.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,1.999.963.050.000,1.500.000.000.000,,411.0,,1999963050000.0,1500000000000.0
,,,Cổ phiếu phổ thông có quyềnbiểu quyết,411a,,1.999.963.050.000,1.500.000.000.000,,,,1999963050000.0,1500000000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,60.986.800.000,335.950.000.000,,412.0,,60986800000.0,335950000000.0
10.,10.,10.,Lợi nhuận sau thuế chưa phân phối,421,,483.397.521.785,238.527.808.665,,421.0,,483397521785.0,238527808665.0
-,-,-,LNST chưa phân phối lũy kếđến cuối kỳ trước,421a,,1.705.531.873,3.209.293.581,,,,1705531873.0,3209293581.0
-,-,-,LNST chưa phân phối kỳ này,421b,,481.691.989.912,235.318.515.084,,,,481691989912.0,235318515084.0
13,13,13,Lợi ích cổ đông không kiểm soát,429,,14.211.057.001,14.215.202.459,,429.0,,14211057001.0,14215202459.0
TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),440,,7.398.332.179.385,6.576.023.355.231,,440.0,,7398332179385.0,6576023355231.0
