row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO),THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_1,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_2,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_3,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_4,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_5,THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_6,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_1,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_2,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_3,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_4,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_5,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP THEO)_6
5.12 Các khoản đầu tư tài chính dài hạn,5.12 Các khoản đầu tư tài chính dài hạn,5.12 Các khoản đầu tư tài chính dài hạn,5.12 Các khoản đầu tư tài chính dài hạn,5.12 Các khoản đầu tư tài chính dài hạn,5.12 Các khoản đầu tư tài chính dài hạn,5.12 Các khoản đầu tư tài chính dài hạn,5.12 Các khoản đầu tư tài chính dài hạn,5.12 Các khoản đầu tư tài chính dài hạn,,,,,,
,,,Tỷ lệ,Tỷ lệ,31/12/2018,31/12/2018,Đơn vị tính: VND,Đơn vị tính: VND,,,,,,
,,,Vốn năm giữ,Quyền biểu quyết,Giá trị sổ sách,Dự phòng,Giá trị sổ sách,Dự phòng,,,,,,
Đầu tư vào Công ty liên doanh liên kết,5.12 Các khoản đầu tư tài chính dài hạn > Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,,,464.182.401.159,-,387.923.762.758,-,,,464182401159.0,,387923762758.0,
Công ty CP đầu tư Đại Đông Á (1),5.12 Các khoản đầu tư tài chính dài hạn > Công ty CP đầu tư Đại Đông Á (1),Công ty CP đầu tư Đại Đông Á (1),"35,00%","35,00%",52.901.819.847,-,49.641.463.364,-,0.35,0.35,52901819847.0,,49641463364.0,
Tổng công ty xây dựng công trình giao thông 5,5.12 Các khoản đầu tư tài chính dài hạn > Tổng công ty xây dựng công trình giao thông 5,Tổng công ty xây dựng công trình giao thông 5,"38,68%","38,68%",304.090.733.605,-,303.967.686.159,-,0.3868,0.3868,304090733605.0,,303967686159.0,
Công ty TNHH Phát triển Địa Óc Hải Phong (2),5.12 Các khoản đầu tư tài chính dài hạn > Công ty TNHH Phát triển Địa Óc Hải Phong (2),Công ty TNHH Phát triển Địa Óc Hải Phong (2),"42,99%","42,99%",-,-,34.314.613.235,-,0.4299,0.4299,,,34314613235.0,
Công ty CP Địa ốc S.E.A Thuận Phước,5.12 Các khoản đầu tư tài chính dài hạn > Công ty CP Địa ốc S.E.A Thuận Phước,Công ty CP Địa ốc S.E.A Thuận Phước,21%,21%,79.801.891.359,-,-,-,0.21,0.21,79801891359.0,,,
Công ty TNHH BT Hà Đông,5.12 Các khoản đầu tư tài chính dài hạn > Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,50%,50%,27.387.956.348,-,-,-,0.5,0.5,27387956348.0,,,
Đầu tư vào đơn vị khác,5.12 Các khoản đầu tư tài chính dài hạn > Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,126.548.461.308,-,152.080.000.000,-,,,126548461308.0,,152080000000.0,
Công ty TNHH Phát triển Địa Óc Hải Phong (2),5.12 Các khoản đầu tư tài chính dài hạn > Công ty TNHH Phát triển Địa Óc Hải Phong (2),Công ty TNHH Phát triển Địa Óc Hải Phong (2),10%,10%,11.468.461.308,-,-,-,0.1,0.1,11468461308.0,,,
Công ty CP Bất động sản Đường Sắt,5.12 Các khoản đầu tư tài chính dài hạn > Công ty CP Bất động sản Đường Sắt,Công ty CP Bất động sản Đường Sắt,10%,10%,5.000.000.000,-,5.000.000.000,-,0.1,0.1,5000000000.0,,5000000000.0,
Công ty CP Hải Phát Thủ Đô,5.12 Các khoản đầu tư tài chính dài hạn > Công ty CP Hải Phát Thủ Đô,Công ty CP Hải Phát Thủ Đô,"0,1376","0,1376",110.080.000.000,-,110.080.000.000,-,0.1376,0.1376,110080000000.0,,110080000000.0,
Công ty CP Địa ốc S.E.A Thuận Phước,5.12 Các khoản đầu tư tài chính dài hạn > Công ty CP Địa ốc S.E.A Thuận Phước,Công ty CP Địa ốc S.E.A Thuận Phước,,,-,-,37.000.000.000,-,,,,,37000000000.0,
Tổng,5.12 Các khoản đầu tư tài chính dài hạn > Tổng,Tổng,,,590.730.862.467,-,540.003.762.758,-,,,590730862467.0,,540003762758.0,
