row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị,31/12/2018 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Đơn vị tính: VND > Giá trị,Đơn vị tính: VND > Số có khả năng trả nợ,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Giá trị,numeric__Đơn vị tính: VND > Số có khả năng trả nợ
a. Vay,a. Vay,a. Vay,,,,,,,,,,,,
Vay ngắn hạn,a. Vay > Vay ngắn hạn,Vay ngắn hạn,617.316.306.840,617.316.306.840,904.735.346.084,482.052.027.192,194.632.987.948,194.632.987.948,617316306840.0,617316306840.0,904735346084.0,482052027192.0,194632987948.0,194632987948.0
Ngân hàng Bảo Việt - Hội sở chính (1),a. Vay > Ngân hàng Bảo Việt - Hội sở chính (1),Ngân hàng Bảo Việt - Hội sở chính (1),44.013.493.520,44.013.493.520,331.432.532.764,482.052.027.192,194.632.987.948,194.632.987.948,44013493520.0,44013493520.0,331432532764.0,482052027192.0,194632987948.0,194632987948.0
Ngân hàng SHB - CN Hàn Thuyên (2),a. Vay > Ngân hàng SHB - CN Hàn Thuyên (2),Ngân hàng SHB - CN Hàn Thuyên (2),185.955.855.120,185.955.855.120,185.955.855.120,-,-,-,185955855120.0,185955855120.0,185955855120.0,,,
Ngân hàng TMCP Bản Việt - CN Thăng Long (3),a. Vay > Ngân hàng TMCP Bản Việt - CN Thăng Long (3),Ngân hàng TMCP Bản Việt - CN Thăng Long (3),184.563.458.200,184.563.458.200,184.563.458.200,-,-,-,184563458200.0,184563458200.0,184563458200.0,,,
Ngân Hàng TMCP Công Thương Việt Nam (Vietinbank) - CN Hà Nội (4),a. Vay > Ngân Hàng TMCP Công Thương Việt Nam (Vietinbank) - CN Hà Nội (4),Ngân Hàng TMCP Công Thương Việt Nam (Vietinbank) - CN Hà Nội (4),42.780.000.000,42.780.000.000,42.780.000.000,-,-,-,42780000000.0,42780000000.0,42780000000.0,,,
Công ty Cổ phần Tập đoàn Đầu tư P.H,a. Vay > Công ty Cổ phần Tập đoàn Đầu tư P.H,Công ty Cổ phần Tập đoàn Đầu tư P.H,3.500.000,3.500.000,3.500.000,-,-,-,3500000.0,3500000.0,3500000.0,,,
Phát hành trái phiếu,Phát hành trái phiếu,Phát hành trái phiếu,,,,,,,,,,,,
Ngân Hàng BIDV- Chi nhánh Ba Đình (5),Phát hành trái phiếu > Ngân Hàng BIDV- Chi nhánh Ba Đình (5),Ngân Hàng BIDV- Chi nhánh Ba Đình (5),160.000.000.000,160.000.000.000,160.000.000.000,-,-,-,160000000000.0,160000000000.0,160000000000.0,,,
Vay dài hạn,Phát hành trái phiếu > Vay dài hạn,Vay dài hạn,1.644.481.432.421,1.644.481.432.421,1.762.409.300.594,1.785.716.245.996,1.667.788.377.823,1.667.788.377.823,1644481432421.0,1644481432421.0,1762409300594.0,1785716245996.0,1667788377823.0,1667788377823.0
