row_label_raw,row_label_full,col_0,31/12/2018 > Giá trị ghi số,31/12/2018 > Số có khả năng trả nợ,01/01/2018 > Giá trị ghi số,01/01/2018 > Số có khả năng trả nợ,numeric__31/12/2018 > Giá trị ghi số,numeric__31/12/2018 > Số có khả năng trả nợ,numeric__01/01/2018 > Giá trị ghi số,numeric__01/01/2018 > Số có khả năng trả nợ
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,374.062.025.578,374.062.025.578,217.290.366.190,217.290.366.190,374062025578.0,374062025578.0,217290366190.0,217290366190.0
Công ty CP Xây dựng số 1,Công ty CP Xây dựng số 1,Công ty CP Xây dựng số 1,25.039.134.058,25.039.134.058,20.051.811.000,20.051.811.000,25039134058.0,25039134058.0,20051811000.0,20051811000.0
Sông Hồng,Sông Hồng,Sông Hồng,,,,,,,,
Công ty Cổ phần Xây dựng Hải Phát,Sông Hồng > Công ty Cổ phần Xây dựng Hải Phát,Công ty Cổ phần Xây dựng Hải Phát,13.294.498.873,13.294.498.873,13.294.498.873,13.294.498.873,13294498873.0,13294498873.0,13294498873.0,13294498873.0
Công ty Cổ phần TSQ Techco,Sông Hồng > Công ty Cổ phần TSQ Techco,Công ty Cổ phần TSQ Techco,59.705.952.267,59.705.952.267,12.171.101.056,12.171.101.056,59705952267.0,59705952267.0,12171101056.0,12171101056.0
Công ty TNHH An Quý Hưng,Sông Hồng > Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,9.728.989.435,9.728.989.435,13.340.210.577,13.340.210.577,9728989435.0,9728989435.0,13340210577.0,13340210577.0
Công ty CP Dịch vụ Đô thị Hải Phát PSP,Sông Hồng > Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty CP Dịch vụ Đô thị Hải Phát PSP,3.762.779.087,3.762.779.087,13.034.242.556,13.034.242.556,3762779087.0,3762779087.0,13034242556.0,13034242556.0
Công ty Cổ phần Xây Lắp Hải Phát.,Sông Hồng > Công ty Cổ phần Xây Lắp Hải Phát.,Công ty Cổ phần Xây Lắp Hải Phát.,21.261.363.414,21.261.363.414,-,-,21261363414.0,21261363414.0,,
Phải trả người bán ngắn hạn khác,Sông Hồng > Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,241.269.308.444,241.269.308.444,145.398.502.128,145.398.502.128,241269308444.0,241269308444.0,145398502128.0,145398502128.0
Trong đó phải trả các bên liên quan,Trong đó phải trả các bên liên quan,Trong đó phải trả các bên liên quan,,,,,,,,
Công ty TNHH An Quý Hưng,Trong đó phải trả các bên liên quan > Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,9.728.989.435,9.728.989.435,13.340.210.577,13.340.210.577,9728989435.0,9728989435.0,13340210577.0,13340210577.0
Công ty CP Dịch vụ Đô thị Hải Phát PSP,Trong đó phải trả các bên liên quan > Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty CP Dịch vụ Đô thị Hải Phát PSP,3.762.779.087,3.762.779.087,13.034.242.556,13.034.242.556,3762779087.0,3762779087.0,13034242556.0,13034242556.0
Công ty Cổ phần Xây Lắp Hải Phát.,Trong đó phải trả các bên liên quan > Công ty Cổ phần Xây Lắp Hải Phát.,Công ty Cổ phần Xây Lắp Hải Phát.,21.261.363.414,21.261.363.414,-,-,21261363414.0,21261363414.0,,
b. Dài hạn,b. Dài hạn,b. Dài hạn,-,-,-,-,,,,
Tổng,b. Dài hạn > Tổng,Tổng,374.062.025.578,374.062.025.578,217.290.366.190,217.290.366.190,374062025578.0,374062025578.0,217290366190.0,217290366190.0
