row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,Nam 2018 VND,Nam 2017 VND,numeric__Tính chất giao dịch,numeric__Nam 2018 VND,numeric__Nam 2017 VND
Giao dịch bán,Giao dịch bán,Giao dịch bán,Giao dịch bán,Giao dịch bán,Giao dịch bán,,,
Công ty CP Dịch vụ Đô thị Hải Phát PSP,Giao dịch bán > Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty CP Dịch vụ Đô thị Hải Phát PSP,Cung cấp dịch vụ,29.042.672.392,24.259.105.183,,29042672392.0,24259105183.0
Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Giao dịch bán > Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Cung cấp dịch vụ,-,1.069.848.406,,,1069848406.0
Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Giao dịch bán > Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Bán bất động sản,-,31.075.000.000,,,31075000000.0
Công ty CP Đầu tư Hải Phát Thủ Đô,Giao dịch bán > Công ty CP Đầu tư Hải Phát Thủ Đô,Công ty CP Đầu tư Hải Phát Thủ Đô,Cung cấp dịch vụ,70.389.185.560,2.271.578.925,,70389185560.0,2271578925.0
Công ty CP Xây lắp Hải Phát,Giao dịch bán > Công ty CP Xây lắp Hải Phát,Công ty CP Xây lắp Hải Phát,Cung cấp dịch vụ,455.356.672,335.363.101,,455356672.0,335363101.0
Công ty CP Đầu tư xây dựng và thương mại Thành Nhân,Giao dịch bán > Công ty CP Đầu tư xây dựng và thương mại Thành Nhân,Công ty CP Đầu tư xây dựng và thương mại Thành Nhân,Bán hàng hóa,-,7.811.710.500,,,7811710500.0
Công ty CP Đầu tư Đại Đông Á,Giao dịch bán > Công ty CP Đầu tư Đại Đông Á,Công ty CP Đầu tư Đại Đông Á,Bán sản thương mại,301.513.819,77.653.545.456,,301513819.0,77653545456.0
Đỗ Quý Thành,Giao dịch bán > Đỗ Quý Thành,Đỗ Quý Thành,Chuyển nhượng CP,-,143.056.000.000,,,143056000000.0
Giao dịch phải thu khác,Giao dịch phải thu khác,Giao dịch phải thu khác,Giao dịch phải thu khác,Giao dịch phải thu khác,Giao dịch phải thu khác,,,
Công ty TNHH Phát triển Địa Ốc Hải Phong,Giao dịch phải thu khác > Công ty TNHH Phát triển Địa Ốc Hải Phong,Công ty TNHH Phát triển Địa Ốc Hải Phong,Hợp tác đầu tư,-,300.032.160.000,,,300032160000.0
Công ty TNHH Mỹ nghệ Đức Hồng,Giao dịch phải thu khác > Công ty TNHH Mỹ nghệ Đức Hồng,Công ty TNHH Mỹ nghệ Đức Hồng,Cho vay,-,750.000.000,,,750000000.0
Công ty CP Đầu tư Hải Phát Thủ Đô,Giao dịch phải thu khác > Công ty CP Đầu tư Hải Phát Thủ Đô,Công ty CP Đầu tư Hải Phát Thủ Đô,Cho vay,-,158.000.000.000,,,158000000000.0
