row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântải, truyền dẫn","Thiết bị,dụng cụ quản lý",Đơn vi tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Đơn vi tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2018,NGUYÊN GIÁ > Số dư tại 01/01/2018,Số dư tại 01/01/2018,663.295.979.884,316.661.037,17.682.658.182,1.561.232.433,682.856.531.536,663295979884.0,316661037.0,17682658182.0,1561232433.0,682856531536.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,130.004.193.498,185.000.000,4.749.716.364,1.252.990.895,136.191.900.757,130004193498.0,185000000.0,4749716364.0,1252990895.0,136191900757.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,83.040.471.393,185.000.000,4.749.716.364,1.252.990.895,89.228.178.652,83040471393.0,185000000.0,4749716364.0,1252990895.0,89228178652.0
Xây dựng cơ bản dở dang hoàn thành,NGUYÊN GIÁ > Xây dựng cơ bản dở dang hoàn thành,Xây dựng cơ bản dở dang hoàn thành,46.963.722.105,,,,46.963.722.105,46963722105.0,,,,46963722105.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,595.258.378.773,31.742.856,3.606.400.000,77.136.373,598.973.658.002,595258378773.0,31742856.0,3606400000.0,77136373.0,598973658002.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,31.742.856,3.606.400.000,77.136.373,3.715.279.229,,31742856.0,3606400000.0,77136373.0,3715279229.0
Chuyển đổi mục đích sử dụng (*),NGUYÊN GIÁ > Chuyển đổi mục đích sử dụng (*),Chuyển đổi mục đích sử dụng (*),595.258.378.773,-,-,-,595.258.378.773,595258378773.0,,,,595258378773.0
Số dư tại 31/12/2018,NGUYÊN GIÁ > Số dư tại 31/12/2018,Số dư tại 31/12/2018,198.041.794.609,469.918.181,18.825.974.546,2.737.086.955,220.074.774.291,198041794609.0,469918181.0,18825974546.0,2737086955.0,220074774291.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2018,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2018,Số dư tại 01/01/2018,9.808.125.139,297.772.141,5.817.369.290,1.400.521.199,17.323.787.769,9808125139.0,297772141.0,5817369290.0,1400521199.0,17323787769.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,14.510.359.954,58.596.759,2.803.765.948,142.268.760,17.514.991.421,14510359954.0,58596759.0,2803765948.0,142268760.0,17514991421.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,14.510.359.954,58.596.759,2.803.765.948,142.268.760,17.514.991.421,14510359954.0,58596759.0,2803765948.0,142268760.0,17514991421.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,18.943.563.675,31.742.856,1.229.644.444,77.136.373,20.282.087.348,18943563675.0,31742856.0,1229644444.0,77136373.0,20282087348.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,31.742.856,1.229.644.444,77.136.373,1.338.523.673,,31742856.0,1229644444.0,77136373.0,1338523673.0
Chuyển đổi mục đích sử dụng (*),GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển đổi mục đích sử dụng (*),Chuyển đổi mục đích sử dụng (*),18.943.563.675,-,-,-,18.943.563.675,18943563675.0,,,,18943563675.0
Số dư tại 31/12/2018,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2018,Số dư tại 31/12/2018,5.374.921.418,324.626.044,7.391.490.794,1.465.653.586,14.556.691.842,5374921418.0,324626044.0,7391490794.0,1465653586.0,14556691842.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2018,GIÁ TRỊ CÒN LẠI > Tại 01/01/2018,Tại 01/01/2018,653.487.854.745,18.888.896,11.865.288.892,160.711.234,665.532.743.767,653487854745.0,18888896.0,11865288892.0,160711234.0,665532743767.0
Tại 31/12/2018,GIÁ TRỊ CÒN LẠI > Tại 31/12/2018,Tại 31/12/2018,192.666.873.191,145.292.137,11.434.483.752,1.271.433.369,205.518.082.449,192666873191.0,145292137.0,11434483752.0,1271433369.0,205518082449.0
