row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
Số dư tại 01/01/2017,Số dư tại 01/01/2017,Số dư tại 01/01/2017,750.000.000.000,-,431.802.810.888,96.489.143.636,1.278.291.954.524,750000000000.0,,431802810888.0,96489143636.0,1278291954524.0
Tăng vốn từ chia cổ tức,Tăng vốn từ chia cổ tức,Tăng vốn từ chia cổ tức,450.000.000.000,-,(450.000.000.000),-,-,450000000000.0,,-450000000000.0,,
Tăng vốn phát hành thêm,Tăng vốn phát hành thêm,Tăng vốn phát hành thêm,300.000.000.000,335.950.000.000,-,-,635.950.000.000,300000000000.0,335950000000.0,,,635950000000.0
Phân phối lợi nhuận hợp tác kinh doanh,Phân phối lợi nhuận hợp tác kinh doanh,Phân phối lợi nhuận hợp tác kinh doanh,-,-,(61.600.000.000),-,(61.600.000.000),,,-61600000000.0,,-61600000000.0
Trích lập các quỹ 2016,Trích lập các quỹ 2016,Trích lập các quỹ 2016,-,-,(5.000.000.000),-,(5.000.000.000),,,-5000000000.0,,-5000000000.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,325.182.591.958,(14.326.153),325.168.265.805,,,325182591958.0,-14326153.0,325168265805.0
Điều chỉnh do bán vốn tại các công ty con hợp nhất đầu năm,Điều chỉnh do bán vốn tại các công ty con hợp nhất đầu năm,Điều chỉnh do bán vốn tại các công ty con hợp nhất đầu năm,-,-,531.818.880,(82.259.615.024),(81.727.796.144),,,531818880.0,-82259615024.0,-81727796144.0
Trích lập quỹ Công ty liên kết,Trích lập quỹ Công ty liên kết,Trích lập quỹ Công ty liên kết,-,-,(2.366.564.388),-,(2.366.564.388),,,-2366564388.0,,-2366564388.0
Bán vốn tại công ty văn nấm quyền kiểm soát,Bán vốn tại công ty văn nấm quyền kiểm soát,Bán vốn tại công ty văn nấm quyền kiểm soát,-,-,(22.848.673),-,(22.848.673),,,-22848673.0,,-22848673.0
Số dư tại 31/12/2017,Số dư tại 31/12/2017,Số dư tại 31/12/2017,1.500.000.000.000,335.950.000.000,238.527.808.665,14.215.202.459,2.088.693.011.124,1500000000000.0,335950000000.0,238527808665.0,14215202459.0,2088693011124.0
Số dư tại 01/01/2018,Số dư tại 01/01/2018,Số dư tại 01/01/2018,1.500.000.000.000,335.950.000.000,238.527.808.665,14.215.202.459,2.088.693.011.124,1500000000000.0,335950000000.0,238527808665.0,14215202459.0,2088693011124.0
Tăng vốn từ chia cổ tức,Tăng vốn từ chia cổ tức,Tăng vốn từ chia cổ tức,224.999.850.000,-,(224.999.850.000),-,-,224999850000.0,,-224999850000.0,,
Tăng vốn từ thẳng dư,Tăng vốn từ thẳng dư,Tăng vốn từ thẳng dư,274.963.200.000,(274.963.200.000),-,-,-,274963200000.0,-274963200000.0,,,
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,452.274.025.361,(4.145.458),452.269.879.903,,,452274025361.0,-4145458.0,452269879903.0
Trích lập các quỹ 2017,Trích lập các quỹ 2017,Trích lập các quỹ 2017,-,-,(6.631.661.968),-,(6.631.661.968),,,-6631661968.0,,-6631661968.0
"Thù lao Hội đồng Quản trị, Ban kiểm soát năm 2018","Thù lao Hội đồng Quản trị, Ban kiểm soát năm 2018","Thù lao Hội đồng Quản trị, Ban kiểm soát năm 2018",-,-,(4.467.764.723),-,(4.467.764.723),,,-4467764723.0,,-4467764723.0
Tăng do thay đổi cơ cấu vốn (*),Tăng do thay đổi cơ cấu vốn (*),Tăng do thay đổi cơ cấu vốn (*),-,-,31.290.346.862,-,31.290.346.862,,,31290346862.0,,31290346862.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,(2.595.382.412),-,(2.595.382.412),,,-2595382412.0,,-2595382412.0
Số dư tại 31/12/2018,Số dư tại 31/12/2018,Số dư tại 31/12/2018,1.999.963.050.000,60.986.800.000,483.397.521.785,14.211.057.001,2.558.558.428.786,1999963050000.0,60986800000.0,483397521785.0,14211057001.0,2558558428786.0
