row_label_raw,row_label_full,col_0,Hoạt động chính,Tỷ lệ góp vốn,Tỷ lệ biểu quyết,numeric__Hoạt động chính,numeric__Tỷ lệ góp vốn,numeric__Tỷ lệ biểu quyết
Công ty con,Công ty con,Công ty con,,,,,,
Công ty CP TM Địa ốc Bình Minh,Công ty con > Công ty CP TM Địa ốc Bình Minh,Công ty CP TM Địa ốc Bình Minh,Đầu tư Kinh doanh Bất động sản,"77,2%","77,2%",,0.772,0.772
Công ty TNHH HP Hospitality Nha Trang,Công ty con > Công ty TNHH HP Hospitality Nha Trang,Công ty TNHH HP Hospitality Nha Trang,Đầu tư Kinh doanh Bất động sản,75%,75%,,0.75,0.75
Công ty TNHH một thành viên Địa Ốc Châu Sơn,Công ty con > Công ty TNHH một thành viên Địa Ốc Châu Sơn,Công ty TNHH một thành viên Địa Ốc Châu Sơn,Đầu tư Kinh doanh Bất động sản,100%,100%,,1.0,1.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,
Công ty Cổ phần Đầu tư Đại Đông Á,Công ty liên kết > Công ty Cổ phần Đầu tư Đại Đông Á,Công ty Cổ phần Đầu tư Đại Đông Á,Đầu tư Kinh doanh Bất động sản,35%,35%,,0.35,0.35
Tổng Công ty Xây dựng Công trình Giao thông 5,Công ty liên kết > Tổng Công ty Xây dựng Công trình Giao thông 5,Tổng Công ty Xây dựng Công trình Giao thông 5,Đầu tư Kinh doanh Bất động sản,"38,7%","38,7%",,0.387,0.387
Công ty CP Địa ốc S.E.A Thuận Phước,Công ty liên kết > Công ty CP Địa ốc S.E.A Thuận Phước,Công ty CP Địa ốc S.E.A Thuận Phước,Đầu tư Kinh doanh Bất động sản,21%,21%,,0.21,0.21
Công ty TNHH BT Hà Đông,Công ty liên kết > Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Đầu tư Kinh doanh Bất động sản,50%,50%,,0.5,0.5
