row_label_raw,row_label_full,TÀI SẢN,MS,TM,31/12/2018VND,01/01/2018VND,numeric__MS,numeric__TM,numeric__31/12/2018VND,numeric__01/01/2018VND
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,3.049.971.860.209,2.598.889.116.493,100.0,,3049971860209.0,2598889116493.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,415.398.335.863,558.152.493.710,110.0,51.0,415398335863.0,558152493710.0
1. Tiền,1. Tiền,1. Tiền,111,,353.398.335.863,221.152.493.710,111.0,,353398335863.0,221152493710.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,62.000.000.000,337.000.000.000,112.0,,62000000000.0,337000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5.2,45.000.000.000,-,120.0,52.0,45000000000.0,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,3. Đầu tư nắm giữ đến ngày đáo hạn,123,,45.000.000.000,-,123.0,,45000000000.0,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.349.073.407.261,1.269.907.680.788,130.0,,1349073407261.0,1269907680788.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.3,453.494.111.873,149.691.628.306,131.0,53.0,453494111873.0,149691628306.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,5.4,202.700.797.176,703.184.616.910,132.0,54.0,202700797176.0,703184616910.0
6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,136,5.5,692.878.498.212,456.031.435.572,136.0,55.0,692878498212.0,456031435572.0
