row_label_raw,row_label_full,col_0,Miền Bắc > Năm nay,Miền Bắc > Năm trước,Miền Trung > Năm nay,Miền Trung > Năm trước,Miền Nam > Năm nay,Miền Nam > Năm trước,Điều chỉnh > Năm nay,Điều chỉnh > Năm trước,Cộng > Năm nay,Cộng > Năm trước,numeric__Miền Bắc > Năm nay,numeric__Miền Bắc > Năm trước,numeric__Miền Trung > Năm nay,numeric__Miền Trung > Năm trước,numeric__Miền Nam > Năm nay,numeric__Miền Nam > Năm trước,numeric__Điều chỉnh > Năm nay,numeric__Điều chỉnh > Năm trước,numeric__Cộng > Năm nay,numeric__Cộng > Năm trước
I. Thu nhập,I. Thu nhập,I. Thu nhập,1.035.565,628.603,834.608,787.415,6.049.557,5.451.144,(1.540.252),(859.907),6.379.478,6.007.255,1035565.0,628603.0,834608.0,787415.0,6049557.0,5451144.0,-1540252.0,-859907.0,6379478.0,6007255.0
1. Thu nhập lãi,1. Thu nhập lãi,1. Thu nhập lãi,892.232,587.949,783.311,741.766,5.240.960,4.979.331,(1.540.252),(859.907),5.376.251,5.449.139,892232.0,587949.0,783311.0,741766.0,5240960.0,4979331.0,-1540252.0,-859907.0,5376251.0,5449139.0
Thu nhập lãi khách hàng bên ngoài,Thu nhập lãi khách hàng bên ngoài,Thu nhập lãi khách hàng bên ngoài,990.688,344.656,571.355,597.184,3.814.208,4.507.299,-,-,5.376.251,5.449.139,990688.0,344656.0,571355.0,597184.0,3814208.0,4507299.0,,,5376251.0,5449139.0
Thu nhập lãi nội bộ,Thu nhập lãi nội bộ,Thu nhập lãi nội bộ,(98.456),243.293,211.956,144.582,1.426.752,472.032,(1.540.252),(859.907),-,-,-98456.0,243293.0,211956.0,144582.0,1426752.0,472032.0,-1540252.0,-859907.0,,
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,128.318,37.897,45.113,44.372,223.776,163.966,-,-,397.207,246.235,128318.0,37897.0,45113.0,44372.0,223776.0,163966.0,,,397207.0,246235.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,15.015,2.757,6.184,1.277,584.821,307.847,-,-,606.020,311.881,15015.0,2757.0,6184.0,1277.0,584821.0,307847.0,,,606020.0,311881.0
II. Chi phí,II. Chi phí,II. Chi phí,639.227,453.766,733.091,689.945,5.391.290,4.591.248,(1.540.252),(859.907),5.223.356,4.875.052,639227.0,453766.0,733091.0,689945.0,5391290.0,4591248.0,-1540252.0,-859907.0,5223356.0,4875052.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,537.365,376.135,548.787,525.417,3.753.676,3.485.983,(1.540.252),(859.907),3.299.576,3.527.628,537365.0,376135.0,548787.0,525417.0,3753676.0,3485983.0,-1540252.0,-859907.0,3299576.0,3527628.0
Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,343.875,356.457,474.295,479.949,2.481.406,2.691.222,-,-,3.299.576,3.527.628,343875.0,356457.0,474295.0,479949.0,2481406.0,2691222.0,,,3299576.0,3527628.0
Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,193.490,19.678,74.492,45.468,1.272.270,794.761,(1.540.252),(859.907),-,-,193490.0,19678.0,74492.0,45468.0,1272270.0,794761.0,-1540252.0,-859907.0,,
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,903,983,7.969,8.155,57.924,57.949,-,-,66.796,67.087,903.0,983.0,7969.0,8155.0,57924.0,57949.0,,,66796.0,67087.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,100.959,76.648,176.335,156.373,1.579.690,1.047.316,-,-,1.856.984,1.280.337,100959.0,76648.0,176335.0,156373.0,1579690.0,1047316.0,,,1856984.0,1280337.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,396.338,174.837,101.517,97.470,658.267,859.896,-,-,1.156.122,1.132.203,396338.0,174837.0,101517.0,97470.0,658267.0,859896.0,,,1156122.0,1132203.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,112.906,27.375,63.073,7.271,296.414,47.001,-,-,472.393,81.647,112906.0,27375.0,63073.0,7271.0,296414.0,47001.0,,,472393.0,81647.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,283.432,147.462,38.444,90.199,361.853,812.895,-,-,683.729,1.050.556,283432.0,147462.0,38444.0,90199.0,361853.0,812895.0,,,683729.0,1050556.0
