row_label_raw,row_label_full,col_0,Miền Bắc > Số cuối năm,Miền Bắc > Số đầu năm,Miền Trung > Số cuối năm,Miền Trung > Số đầu năm,Miền Nam > Số cuối năm,Miền Nam > Số đầu năm,Điều chính > Số cuối năm,Điều chính > Số đầu năm,Cộng > Số cuối năm,Cộng > Số đầu năm,numeric__Miền Bắc > Số cuối năm,numeric__Miền Bắc > Số đầu năm,numeric__Miền Trung > Số cuối năm,numeric__Miền Trung > Số đầu năm,numeric__Miền Nam > Số cuối năm,numeric__Miền Nam > Số đầu năm,numeric__Điều chính > Số cuối năm,numeric__Điều chính > Số đầu năm,numeric__Cộng > Số cuối năm,numeric__Cộng > Số đầu năm
I. Tài sản,I. Tài sản,I. Tài sản,6.576.196,5.241.749,9.318.453,6.434.940,70.171.547,72.378.941,-,-,86.066.196,84.055.630,6576196.0,5241749.0,9318453.0,6434940.0,70171547.0,72378941.0,,,86066196.0,84055630.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,61.720,99.638,121.839,177.990,559.258,768.987,-,-,742.817,1.046.615,61720.0,99638.0,121839.0,177990.0,559258.0,768987.0,,,742817.0,1046615.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,2.972,3.488,243.230,250.264,1.131.131,1.147.885,-,-,1.377.333,1.401.637,2972.0,3488.0,243230.0,250264.0,1131131.0,1147885.0,,,1377333.0,1401637.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,6.511.504,5.138.623,8.953.384,6.006.686,68.481.158,70.462.069,-,-,83.946.046,81.607.378,6511504.0,5138623.0,8953384.0,6006686.0,68481158.0,70462069.0,,,83946046.0,81607378.0
II. Nợ phải trả,II. Nợ phải trả,II. Nợ phải trả,6.292.765,12.186.420,9.280.010,7.518.534,65.331.344,59.694.574,-,-,80.904.119,79.399.528,6292765.0,12186420.0,9280010.0,7518534.0,65331344.0,59694574.0,,,80904119.0,79399528.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,6.238.812,12.184.206,9.277.753,7.516.765,64.196.271,59.117.999,-,-,79.712.836,78.818.970,6238812.0,12184206.0,9277753.0,7516765.0,64196271.0,59117999.0,,,79712836.0,78818970.0
2. Nợ phải trả khác,2. Nợ phải trả khác,2. Nợ phải trả khác,53.953,2.214,2.257,1.769,1.135.073,576.575,-,-,1.191.283,580.558,53953.0,2214.0,2257.0,1769.0,1135073.0,576575.0,,,1191283.0,580558.0
