row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,V.13; VI.1,4.934.146,5.860.160,,4934146.0,5860160.0
02. Chi phí lãi và các chi phí tương tự đã trả,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 02. Chi phí lãi và các chi phí tương tự đã trả,02. Chi phí lãi và các chi phí tương tự đã trả,V.18; VI.2,(3.238.121),(3.519.657),,-3238121.0,-3519657.0
03. Thu nhập hoạt động dịch vụ nhận được,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 03. Thu nhập hoạt động dịch vụ nhận được,03. Thu nhập hoạt động dịch vụ nhận được,VI.3,364.261,223.213,,364261.0,223213.0
"04. Chênh lệch số tiền thực thu/thực chỉ từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)","LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 04. Chênh lệch số tiền thực thu/thực chỉ từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)","04. Chênh lệch số tiền thực thu/thực chỉ từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",,42.799,92.010,,42799.0,92010.0
05. Thu nhập khác,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 05. Thu nhập khác,05. Thu nhập khác,,(2.879),(12.420),,-2879.0,-12420.0
"06. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 06. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","06. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",VI.6,83.647,32.685,,83647.0,32685.0
"07. Tiền chỉ trả cho nhân viên và hoạt động quản lý, công vụ","LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 07. Tiền chỉ trả cho nhân viên và hoạt động quản lý, công vụ","07. Tiền chỉ trả cho nhân viên và hoạt động quản lý, công vụ",,(1.371.520),(1.059.293),,-1371520.0,-1059293.0
08. Tiền thuế thực nộp trong kỳ,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 08. Tiền thuế thực nộp trong kỳ,08. Tiền thuế thực nộp trong kỳ,VIII.2,(173.428),(177.874),,-173428.0,-177874.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thay đổi về tài sản và vốn lưu động,LUỦU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thay đổi về tài sản và vốn lưu động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thay đổi về tài sản và vốn lưu động,,638.905,1.438.824,,638905.0,1438824.0
