row_label_raw,row_label_full,Cho vay Knatch hàng,Cho vay Knatch hàng_1,Cho vay Knatch hàng_2,numeric__Cho vay Knatch hàng_1,numeric__Cho vay Knatch hàng_2
,,,Số cuối năm,Số đầu năm,,
Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,Cho vay các tổ chức kinh tế và cá nhân trong nước,44.700.596,38.380.230,44700596.0,38380230.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",1.999,7.109,1999.0,7109.0
Cộng,Cộng,Cộng,44.702.595,38.387.339,44702595.0,38387339.0
