row_label_raw,row_label_full,Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tính hình tài chính riêng,Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tính hình tài chính riêng,Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tính hình tài chính riêng,numeric__Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tính hình tài chính riêng,numeric__Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Báo cáo tính hình tài chính riêng
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,1.347.927,4.755.046,1347927.0,4755046.0
Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,23.777.634,29.872.517,23777634.0,29872517.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,144.176,-,144176.0,
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,44.702.595,38.387.339,44702595.0,38387339.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,7.590.841,7.093.616,7590841.0,7093616.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",1.097.493,655.388,1097493.0,655388.0
Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,4.997.741,536.932,4997741.0,536932.0
Cộng,Cộng,Cộng,83.658.407,81.300.838,83658407.0,81300838.0
Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,,
Cam kết trong nghiệp vụ L/C – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Cam kết trong nghiệp vụ L/C – gộp,Cam kết trong nghiệp vụ L/C – gộp,7.709,13.025,7709.0,13025.0
Bảo lãnh khác – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Bảo lãnh khác – gộp,Bảo lãnh khác – gộp,281.212,337.073,281212.0,337073.0
Cộng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Cộng,Cộng,288.921,350.098,288921.0,350098.0
