row_label_raw,row_label_full,Họ và tên,Chức danh,Năm 2023VND,numeric__Chức danh,numeric__Năm 2023VND
1. Thu nhập các thành viên Ban Tổng giám đốc,1. Thu nhập các thành viên Ban Tổng giám đốc,1. Thu nhập các thành viên Ban Tổng giám đốc,1. Thu nhập các thành viên Ban Tổng giám đốc,13.832.920.035,,13832920035.0
Đoàn Văn Minh,Đoàn Văn Minh,Đoàn Văn Minh,Tổng Giám đốc,3.946.947.904,,3946947904.0
Tạ Văn Tổ,Tạ Văn Tổ,Tạ Văn Tổ,Phó Tổng giám đốc,1.157.149.506,,1157149506.0
Cao Văn Kiên,Cao Văn Kiên,Cao Văn Kiên,Phó Tổng giám đốc,1.097.542.985,,1097542985.0
Đỗ Phương Anh,Đỗ Phương Anh,Đỗ Phương Anh,Phó Tổng giám đốc,2.012.690.625,,2012690625.0
Vũ Thị Lan Anh,Vũ Thị Lan Anh,Vũ Thị Lan Anh,Phó Tổng giám đốc,3.653.290.203,,3653290203.0
Trần Đạo Đức,Trần Đạo Đức,Trần Đạo Đức,Phó Tổng giám đốc,1.965.298.812,,1965298812.0
2. Thu nhập các thành viên quản lý khác và kế toán trường,2. Thu nhập các thành viên quản lý khác và kế toán trường,2. Thu nhập các thành viên quản lý khác và kế toán trường,2. Thu nhập các thành viên quản lý khác và kế toán trường,7.700.597.058,,7700597058.0
Đoàn Văn Bình,Đoàn Văn Bình,Đoàn Văn Bình,Chủ tịch HĐQT,5.879.356.065,,5879356065.0
Đỗ Thị Thơm,Đỗ Thị Thơm,Đỗ Thị Thơm,Kế toán trường,596.800.579,,596800579.0
Trần Trung Kết,Trần Trung Kết,Trần Trung Kết,Thành viên HĐQT,647.720.207,,647720207.0
Hoàng Thiết Hùng,Hoàng Thiết Hùng,Hoàng Thiết Hùng,Thành viên độc lập HĐQT,576.720.207,,576720207.0
