row_label_raw,row_label_full,1.,Tổng doanh thu bán hàng và cung cấp dịch vụ,Năm 2023VND,Năm 2022VND,numeric__Tổng doanh thu bán hàng và cung cấp dịch vụ,numeric__Năm 2023VND,numeric__Năm 2022VND
1.,1.,1.,Doanh thu,,,,,
1.,1. > 1.,1.,Doanh thu cung cấp dịch vụ,452.938.180.538,428.902.721.521,,452938180538.0,428902721521.0
1.,1. > 1.,1.,Doanh thu kinh doanh bất động sản,940.538.841.662,2.120.112.950.637,,940538841662.0,2120112950637.0
1.,1. > 1.,1.,Cộng,1.393.477.022.200,2.549.015.672.158,,1393477022200.0,2549015672158.0
2.,2.,2.,Các khoản giảm trừ doanh thu,Năm 2023VND,Năm 2022VND,,,
2.,2. > 2.,2.,Giảm giá hàng bán,4.462.909,17.101.473,,4462909.0,17101473.0
2.,2. > 2.,2.,Cộng,4.462.909,17.101.473,,4462909.0,17101473.0
3.,3.,3.,Giá vốn hàng bán,Năm 2023VND,Năm 2022VND,,,
3.,3. > 3.,3.,Giá vốn cung cấp dịch vụ,521.814.214.099,517.915.055.053,,521814214099.0,517915055053.0
3.,3. > 3.,3.,Giá vốn kinh doanh bất động sản,438.617.879.998,1.118.823.162.162,,438617879998.0,1118823162162.0
3.,3. > 3.,3.,Cộng,960.432.094.097,1.636.738.217.215,,960432094097.0,1636738217215.0
