row_label_raw,row_label_full,Mẫu số B 09 - DN/HN,Mẫu số B 09 - DN/HN_1,Mẫu số B 09 - DN/HN_2,Mẫu số B 09 - DN/HN_3,Mẫu số B 09 - DN/HN_4,Mẫu số B 09 - DN/HN_5,Mẫu số B 09 - DN/HN_6,numeric__Mẫu số B 09 - DN/HN_1,numeric__Mẫu số B 09 - DN/HN_2,numeric__Mẫu số B 09 - DN/HN_3,numeric__Mẫu số B 09 - DN/HN_4,numeric__Mẫu số B 09 - DN/HN_5,numeric__Mẫu số B 09 - DN/HN_6
"THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Tăng, giảm tài sản cố định hữu hình","THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Tăng, giảm tài sản cố định hữu hình","THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Tăng, giảm tài sản cố định hữu hình","THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Tăng, giảm tài sản cố định hữu hình","THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Tăng, giảm tài sản cố định hữu hình","THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Tăng, giảm tài sản cố định hữu hình","THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Tăng, giảm tài sản cố định hữu hình","THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Tăng, giảm tài sản cố định hữu hình","THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)Tăng, giảm tài sản cố định hữu hình",,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư ngày 01/01/2023,Nguyên giá > Số dư ngày 01/01/2023,Số dư ngày 01/01/2023,1.554.987.570.671,86.031.356.553,66.287.830.273,10.018.253.904,7.416.373.863,1.724.741.385.264,1554987570671.0,86031356553.0,66287830273.0,10018253904.0,7416373863.0,1724741385264.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,238.993.489,700.485.138,647.272.727,134.468.182,531.909.091,2.253.128.627,238993489.0,700485138.0,647272727.0,134468182.0,531909091.0,2253128627.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,2.457.108.674,-,-,-,-,2.457.108.674,2457108674.0,,,,,2457108674.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,23.582.987.914,244.392.472,-,-,-,23.827.380.386,23582987914.0,244392472.0,,,,23827380386.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(229.609.710),(633.582.724),(627.136.363),(282.590.909),-,(1.772.919.706),-229609710.0,-633582724.0,-627136363.0,-282590909.0,,-1772919706.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(357.525.000),-,-,(862.644.076),-,(1.220.169.076),-357525000.0,,,-862644076.0,,-1220169076.0
Phân loại,Nguyên giá > Phân loại,Phân loại,(247.014.845),247.014.845,-,-,-,-,-247014845.0,247014845.0,,,,
Số dư ngày 31/12/2023,Nguyên giá > Số dư ngày 31/12/2023,Số dư ngày 31/12/2023,1.580.432.511.193,86.589.666.284,66.307.966.637,9.007.487.101,7.948.282.954,1.750.285.914.169,1580432511193.0,86589666284.0,66307966637.0,9007487101.0,7948282954.0,1750285914169.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư ngày 01/01/2023,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2023,Số dư ngày 01/01/2023,257.306.702.422,59.929.533.881,43.374.597.434,8.206.335.794,6.556.443.265,375.373.612.796,257306702422.0,59929533881.0,43374597434.0,8206335794.0,6556443265.0,375373612796.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,39.580.857.871,11.517.052.967,6.013.970.214,1.031.997.036,476.208.796,58.620.086.884,39580857871.0,11517052967.0,6013970214.0,1031997036.0,476208796.0,58620086884.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,-,204.875.700,-,-,-,204.875.700,,204875700.0,,,,204875700.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(229.609.710),(633.582.724),(627.136.363),(282.590.909),-,(1.772.919.706),-229609710.0,-633582724.0,-627136363.0,-282590909.0,,-1772919706.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,(131.092.500),-,-,(773.021.259),-,(904.113.759),-131092500.0,,,-773021259.0,,-904113759.0
Số dư ngày 31/12/2023,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2023,Số dư ngày 31/12/2023,296.526.858.083,71.017.879.824,48.761.431.285,8.182.720.662,7.032.652.061,431.521.541.915,296526858083.0,71017879824.0,48761431285.0,8182720662.0,7032652061.0,431521541915.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 01/01/2023,Giá trị còn lại > Tại ngày 01/01/2023,Tại ngày 01/01/2023,1.297.680.868.249,26.101.822.672,22.913.232.839,1.811.918.110,859.930.598,1.349.367.772.468,1297680868249.0,26101822672.0,22913232839.0,1811918110.0,859930598.0,1349367772468.0
Tại ngày 31/12/2023,Giá trị còn lại > Tại ngày 31/12/2023,Tại ngày 31/12/2023,1.283.905.653.110,15.571.786.460,17.546.535.352,824.766.439,915.630.893,1.318.764.372.254,1283905653110.0,15571786460.0,17546535352.0,824766439.0,915630893.0,1318764372254.0
