row_label_raw,row_label_full,col_0,col_1,Nam 2023VND,Nam 2022VND,numeric__col_1,numeric__Nam 2023VND,numeric__Nam 2022VND
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,5.146.787.600.000,2.573.399.850.000,,5146787600000.0,2573399850000.0
Vốn góp đầu năm,Vốn góp đầu năm,Vốn góp đầu năm,Vốn góp đầu năm,2.573.399.850.000,2.573.399.850.000,,2573399850000.0,2573399850000.0
Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,2.573.387.750.000,-,,2573387750000.0,
Vốn góp cuối năm,Vốn góp cuối năm,Vốn góp cuối năm,Vốn góp cuối năm,5.146.787.600.000,2.573.399.850.000,,5146787600000.0,2573399850000.0
"Cổ tức, lợi nhuận đã chia","Cổ tức, lợi nhuận đã chia","Cổ tức, lợi nhuận đã chia","Cổ tức, lợi nhuận đã chia",-,-,,,
d),d),d),Cổ phiếu,31/12/2023,01/01/2023,,,
d),d),d),Cổ phiếu,Cổ phiếu,Cổ phiếu,,,
d),d) > d),d),Số lượng cổ phiếu đăng ký phát hành,514.678.760,257.339.985,,514678760.0,257339985.0
d),d) > d),d),Số lượng cổ phiếu đã bán ra công chúng,514.678.760,257.339.985,,514678760.0,257339985.0
d),d) > d),d),- Cổ phiếu phổ thông,514.678.760,257.339.985,,514678760.0,257339985.0
d),d) > d),d),Số lượng cổ phiếu đang lưu hành,514.678.760,257.339.985,,514678760.0,257339985.0
d),d) > d),d),- Cổ phiếu phổ thông,514.678.760,257.339.985,,514678760.0,257339985.0
d),d),d),Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phiếu,,,
e),e),e),Các quỹ của doanh nghiệp,Đơn vị tính: VND,Đơn vị tính: VND,,,
e),e),e),01/01/2023,Phát sinh tăng,Phát sinh giảm,,,
e),e) > e),e),Quỹ đầu tư phát triển,170.458.196.924,47.725.857.450,,170458196924.0,47725857450.0
e),e) > e),e),Cộng,170.458.196.924,47.725.857.450,,170458196924.0,47725857450.0
