row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5
"11. Tăng, giảm Tài sản cố định vô hình","11. Tăng, giảm Tài sản cố định vô hình","11. Tăng, giảm Tài sản cố định vô hình","11. Tăng, giảm Tài sản cố định vô hình","11. Tăng, giảm Tài sản cố định vô hình","11. Tăng, giảm Tài sản cố định vô hình","11. Tăng, giảm Tài sản cố định vô hình","11. Tăng, giảm Tài sản cố định vô hình",,,,,
Khoản mục,Khoản mục,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,"Nhăn hiệu, tên thương mại","Bản quyền, bằng sáng chế",Đơn vị tính: VND Cộng,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư ngày 01/01/2023,Nguyên giá > Số dư ngày 01/01/2023,Số dư ngày 01/01/2023,43.993.024.285,23.999.704.855,267.227.596,208.518.000,68.468.474.736,43993024285.0,23999704855.0,267227596.0,208518000.0,68468474736.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,1.049.104.570,-,-,1.049.104.570,,1049104570.0,,,1049104570.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,832.469.565,-,-,832.469.565,,832469565.0,,,832469565.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(162.000.000),-,-,(162.000.000),,-162000000.0,,,-162000000.0
Số dư ngày 31/12/2023,Nguyên giá > Số dư ngày 31/12/2023,Số dư ngày 31/12/2023,43.993.024.285,25.719.278.990,267.227.596,208.518.000,70.188.048.871,43993024285.0,25719278990.0,267227596.0,208518000.0,70188048871.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,
Số dư ngày 01/01/2023,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2023,Số dư ngày 01/01/2023,4.378.923.103,15.460.141.154,267.227.596,208.518.000,20.314.809.853,4378923103.0,15460141154.0,267227596.0,208518000.0,20314809853.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,950.440.689,3.718.105.727,-,-,4.668.546.416,950440689.0,3718105727.0,,,4668546416.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,-,648.494.852,-,-,648.494.852,,648494852.0,,,648494852.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,-,(162.000.000),-,-,(162.000.000),,-162000000.0,,,-162000000.0
Số dư ngày 31/12/2023,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2023,Số dư ngày 31/12/2023,5.329.363.792,19.664.741.733,267.227.596,208.518.000,25.469.851.121,5329363792.0,19664741733.0,267227596.0,208518000.0,25469851121.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Tại ngày 01/01/2023,Giá trị còn lại > Tại ngày 01/01/2023,Tại ngày 01/01/2023,39.614.101.182,8.539.563.701,-,-,48.153.664.883,39614101182.0,8539563701.0,,,48153664883.0
Tại ngày 31/12/2023,Giá trị còn lại > Tại ngày 31/12/2023,Tại ngày 31/12/2023,38.663.660.493,6.054.537.257,-,-,44.718.197.750,38663660493.0,6054537257.0,,,44718197750.0
