row_label_raw,row_label_full,Công nợ tài chính,31/12/2023,01/01/2023,numeric__31/12/2023,numeric__01/01/2023
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,VND,VND,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,821.772.804.643,1.165.262.703.613,821772804643.0,1165262703613.0
Trừ: Tiền và các khoản tương đương tiền,Công nợ tài chính > Trừ: Tiền và các khoản tương đương tiền,Trừ: Tiền và các khoản tương đương tiền,1.153.356.865.428,407.902.279.191,1153356865428.0,407902279191.0
Nợ thuần,Công nợ tài chính > Nợ thuần,Nợ thuần,-,757.360.424.422,,757360424422.0
Vốn chủ sở hữu,Công nợ tài chính > Vốn chủ sở hữu,Vốn chủ sở hữu,6.246.056.011.589,3.719.154.879.804,6246056011589.0,3719154879804.0
Tỷ lệ nợ trên vốn chủ sở hữu,Công nợ tài chính > Tỷ lệ nợ trên vốn chủ sở hữu,Tỷ lệ nợ trên vốn chủ sở hữu,-,"20,36%",,0.2036
