row_label_raw,row_label_full,Khoản mục,01/01/2023,Tăng trong năm,Giảm trong năm,Đơn vị tính: VND 31/12/2023,numeric__01/01/2023,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Đơn vị tính: VND 31/12/2023
Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,,,,
Nguyên giá,Bất động sản đầu tư cho thuê > Nguyên giá,Nguyên giá,733.074.468.690,42.749.548.285,40.422.390.341,735.401.626.634,733074468690.0,42749548285.0,40422390341.0,735401626634.0
- Quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,87.107.485.585,6.769.276.676,9.566.397.490,84.310.364.771,87107485585.0,6769276676.0,9566397490.0,84310364771.0
- Nhà cửa vật kiến trúc,Bất động sản đầu tư cho thuê > - Nhà cửa vật kiến trúc,- Nhà cửa vật kiến trúc,645.966.983.105,35.980.271.609,30.855.992.851,651.091.261.863,645966983105.0,35980271609.0,30855992851.0,651091261863.0
Giá trị hao mòn luỹ kế,Bất động sản đầu tư cho thuê > Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,102.154.764.390,16.726.539.549,2.323.320.270,116.557.983.669,102154764390.0,16726539549.0,2323320270.0,116557983669.0
- Quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,7.902.237.328,1.971.925.038,474.075.359,9.400.087.007,7902237328.0,1971925038.0,474075359.0,9400087007.0
- Nhà cửa vật kiến trúc,Bất động sản đầu tư cho thuê > - Nhà cửa vật kiến trúc,- Nhà cửa vật kiến trúc,94.252.527.062,14.754.614.511,1.849.244.911,107.157.896.662,94252527062.0,14754614511.0,1849244911.0,107157896662.0
Giá trị còn lại,Bất động sản đầu tư cho thuê > Giá trị còn lại,Giá trị còn lại,630.919.704.300,,,618.843.642.965,630919704300.0,,,618843642965.0
- Quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,79.205.248.257,,,74.910.277.764,79205248257.0,,,74910277764.0
- Nhà cửa vật kiến trúc,Bất động sản đầu tư cho thuê > - Nhà cửa vật kiến trúc,- Nhà cửa vật kiến trúc,551.714.456.043,,,543.933.365.201,551714456043.0,,,543933365201.0
