row_label_raw,row_label_full,Phải thu khác,633.181.016.099,(715.175.120),289.163.672.691,(401.016.268),numeric__633.181.016.099,numeric__(715.175.120),numeric__289.163.672.691,numeric__(401.016.268)
Lãi dự thu,Lãi dự thu,Lãi dự thu,10.436.928.437,-,1.125.853.957,-,10436928437.0,,1125853957.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,622.744.087.662,(715.175.120),288.037.818.734,(401.016.268),622744087662.0,-715175120.0,288037818734.0,-401016268.0
Tiền thỏa thuận đền bù dự án Khu biết thực cao cấp Sonasea Residences (5),Tiền thỏa thuận đền bù dự án Khu biết thực cao cấp Sonasea Residences (5),Tiền thỏa thuận đền bù dự án Khu biết thực cao cấp Sonasea Residences (5),612.727.646.590,-,278.616.788.343,-,612727646590.0,,278616788343.0,
Thuế TNCN phải thu CBCNV,Thuế TNCN phải thu CBCNV,Thuế TNCN phải thu CBCNV,2.071.021.535,-,1.531.559.987,-,2071021535.0,,1531559987.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,7.945.419.537,(715.175.120),7.889.470.404,(401.016.268),7945419537.0,-715175120.0,7889470404.0,-401016268.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,14.507.856.507,-,11.742.015.001,-,14507856507.0,,11742015001.0,
"Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",12.815.772.507,-,10.049.931.001,-,12815772507.0,,10049931001.0,
Phải thu khác,Phải thu khác,Phải thu khác,1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Ban đền bù GPMB Quốc Oai,Ban đền bù GPMB Quốc Oai,Ban đền bù GPMB Quốc Oai,1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Cộng,Cộng,Cộng,691.858.300.372,(5.815.175.120),347.190.678.987,(5.501.016.268),691858300372.0,-5815175120.0,347190678987.0,-5501016268.0
