row_label_raw,row_label_full,Bảng đối chiếu biến động của vốn chủ sở hữu,Bảng đối chiếu biến động của vốn chủ sở hữu_1,Bảng đối chiếu biến động của vốn chủ sở hữu_2,Bảng đối chiếu biến động của vốn chủ sở hữu_3,Bảng đối chiếu biến động của vốn chủ sở hữu_4,Bảng đối chiếu biến động của vốn chủ sở hữu_5,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_1,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_2,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_3,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_4,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_5
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Đơn vị tính: VND,,,,,
A,Chỉ tiêu > A,A,1,2,3,4,\( 5 = (1+2+3+4) \),1.0,2.0,3.0,4.0,
Số dư tại ngày 01/01/2022,Chỉ tiêu > Số dư tại ngày 01/01/2022,Số dư tại ngày 01/01/2022,2.573.399.850.000,-,262.852.904.612,533.717.180.288,3.369.969.934.900,2573399850000.0,,262852904612.0,533717180288.0,3369969934900.0
Lãi trong năm,Chỉ tiêu > Lãi trong năm,Lãi trong năm,-,-,278.907.151.756,31.708.158.746,310.615.310.502,,,278907151756.0,31708158746.0,310615310502.0
Tăng khác,Chỉ tiêu > Tăng khác,Tăng khác,-,-,1.507.159.540,-,1.507.159.540,,,1507159540.0,,1507159540.0
Chia cổ tức,Chỉ tiêu > Chia cổ tức,Chia cổ tức,-,-,-,(109.265.059.678),(109.265.059.678),,,,-109265059678.0,-109265059678.0
Trích quỹ đầu tư phát triển,Chỉ tiêu > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,(6.075.875.449),-,(6.075.875.449),,,-6075875449.0,,-6075875449.0
"Trích quỹ khen thưởng, phúc lợi","Chỉ tiêu > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,(13.967.568.061),(2.169.886.175),(16.137.454.236),,,-13967568061.0,-2169886175.0,-16137454236.0
Giảm khác,Chỉ tiêu > Giảm khác,Giảm khác,-,-,(582.224.844),(1.335.107.855),(1.917.332.699),,,-582224844.0,-1335107855.0,-1917332699.0
Số dư tại ngày 31/12/2022,Chỉ tiêu > Số dư tại ngày 31/12/2022,Số dư tại ngày 31/12/2022,2.573.399.850.000,-,522.641.547.554,452.655.285.326,3.548.696.682.880,2573399850000.0,,522641547554.0,452655285326.0,3548696682880.0
Tăng vốn trong năm nay (i),Chỉ tiêu > Tăng vốn trong năm nay (i),Tăng vốn trong năm nay (i),2.573.387.750.000,-,-,-,2.573.387.750.000,2573387750000.0,,,,2573387750000.0
Lãi trong năm,Chỉ tiêu > Lãi trong năm,Lãi trong năm,-,-,150.763.712.353,-,150.763.712.353,,,150763712353.0,,150763712353.0
Chi phí tăng vốn (i),Chỉ tiêu > Chi phí tăng vốn (i),Chi phí tăng vốn (i),-,(433.150.000),-,-,(433.150.000),,-433150000.0,,,-433150000.0
Tăng khác (ii),Chỉ tiêu > Tăng khác (ii),Tăng khác (ii),-,-,7.094.901.787,-,7.094.901.787,,,7094901787.0,,7094901787.0
Lỗ trong năm nay,Chỉ tiêu > Lỗ trong năm nay,Lỗ trong năm nay,-,-,-,(29.565.514.957),(29.565.514.957),,,,-29565514957.0,-29565514957.0
Trích Quỹ đầu tư phát triển (iii),Chỉ tiêu > Trích Quỹ đầu tư phát triển (iii),Trích Quỹ đầu tư phát triển (iii),-,-,(31.149.315.377),-,(31.149.315.377),,,-31149315377.0,,-31149315377.0
"Trích Quỹ khen thưởng, phúc lợi (iii)","Chỉ tiêu > Trích Quỹ khen thưởng, phúc lợi (iii)","Trích Quỹ khen thưởng, phúc lợi (iii)",-,-,(65.712.537.844),-,(65.712.537.844),,,-65712537844.0,,-65712537844.0
Chia cổ tức tại Công ty con,Chỉ tiêu > Chia cổ tức tại Công ty con,Chia cổ tức tại Công ty con,-,-,-,(3.060.000.000),(3.060.000.000),,,,-3060000000.0,-3060000000.0
"Trích quỹ khen thưởng, phúc lợi tại Công ty con","Chỉ tiêu > Trích quỹ khen thưởng, phúc lợi tại Công ty con","Trích quỹ khen thưởng, phúc lợi tại Công ty con",-,-,-,(4.410.973.078),(4.410.973.078),,,,-4410973078.0,-4410973078.0
Giảm khác (iv),Chỉ tiêu > Giảm khác (iv),Giảm khác (iv),-,-,,(117.739.598.549),(117.739.598.549),,,,-117739598549.0,-117739598549.0
Số dư tại ngày 31/12/2023,Chỉ tiêu > Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,5.146.787.600.000,(433.150.000),583.638.308.473,297.879.198.742,6.027.871.957.215,5146787600000.0,-433150000.0,583638308473.0,297879198742.0,6027871957215.0
