row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,31/12/2023,Đơn vị tính: VND 01/01/2023,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023,numeric__Đơn vị tính: VND 01/01/2023
A,A,A,TÀI SẢN NGĂN HẠN,100,,5.752.390.556.523,3.661.094.355.939,,100.0,,5752390556523.0,3661094355939.0
I,I,I,Tiền và các khoản tương đương tiền,110,V.1.,1.153.356.865.428,407.902.279.191,,110.0,,1153356865428.0,407902279191.0
1,1,1,Tiền,111,,99.960.615.428,82.486.952.916,,111.0,,99960615428.0,82486952916.0
2,2,2,Các khoản tương đương tiền,112,,1.053.396.250.000,325.415.326.275,,112.0,,1053396250000.0,325415326275.0
II,II,II,Đầu tư tài chính ngắn hạn,120,V.2.,1.542.287.327.624,382.865.299.847,,120.0,,1542287327624.0,382865299847.0
1,1,1,Đầu tư nắm giữ đến ngày đáo hạn,123,,1.542.287.327.624,382.865.299.847,,123.0,,1542287327624.0,382865299847.0
III,III,III,Các khoản phải thu ngắn hạn,130,,1.520.620.567.390,1.248.379.796.818,,130.0,,1520620567390.0,1248379796818.0
1,1,1,Phải thu ngắn hạn của khách hàng,131,V.3.,654.420.529.471,773.803.730.491,,131.0,,654420529471.0,773803730491.0
2,2,2,Trả trước cho người bán ngắn hạn,132,V.4.,242.517.932.011,189.108.794.047,,132.0,,242517932011.0,189108794047.0
3,3,3,Phải thu về cho vay ngắn hạn,135,V.5.,10.800.000.000,-,,135.0,,10800000000.0,
4,4,4,Phải thu ngắn hạn khác,136,V.6.,677.350.443.865,335.448.663.986,,136.0,,677350443865.0,335448663986.0
5,5,5,Dự phòng phải thu ngắn hạn khó đòi,137,,(64.468.337.957),(49.981.391.706),,137.0,,-64468337957.0,-49981391706.0
IV,IV,IV,Hàng tồn kho,140,V.8.,1.275.134.325.582,1.467.663.040.362,,140.0,,1275134325582.0,1467663040362.0
1,1,1,Hàng tồn kho,141,,1.275.134.325.582,1.467.663.040.362,,141.0,,1275134325582.0,1467663040362.0
V,V,V,Tài sản ngắn hạn khác,150,,260.991.470.499,154.283.939.721,,150.0,,260991470499.0,154283939721.0
1,1,1,Chi phí trả trước ngắn hạn,151,V.13.,116.511.443.689,42.357.331.116,,151.0,,116511443689.0,42357331116.0
2,2,2,Thuế GTGT được khấu trừ,152,,121.462.137.807,88.254.893.276,,152.0,,121462137807.0,88254893276.0
3,3,3,Thuế và các khoản khác phải thu Nhà nước,153,V.17.,23.017.889.003,23.671.715.329,,153.0,,23017889003.0,23671715329.0
B,B,B,TÀI SẢN DÀI HẠN,200,,3.672.456.970.061,3.399.393.042.206,,200.0,,3672456970061.0,3399393042206.0
I,I,I,Các khoản phải thu dài hạn,210,,14.507.856.507,11.742.015.001,,210.0,,14507856507.0,11742015001.0
1,1,1,Phải thu dài hạn khác,216,V.6.,14.507.856.507,11.742.015.001,,216.0,,14507856507.0,11742015001.0
II,II,II,Tài sản cố định,220,,1.363.482.570.004,1.397.521.437.351,,220.0,,1363482570004.0,1397521437351.0
1,1,1,Tài sản cố định hữu hình,221,V.10.,1.318.764.372.254,1.349.367.772.468,,221.0,,1318764372254.0,1349367772468.0
-,-,-,Nguyên giá,222,,1.750.285.914.169,1.724.741.385.264,,222.0,,1750285914169.0,1724741385264.0
-,-,-,Giá trị hao mòn lũy kế,223,,(431.521.541.915),(375.373.612.796),,223.0,,-431521541915.0,-375373612796.0
2,2,2,Tài sản cố định vô hình,227,V.11.,44.718.197.750,48.153.664.883,,227.0,,44718197750.0,48153664883.0
-,-,-,Nguyên giá,228,,70.188.048.871,68.468.474.736,,228.0,,70188048871.0,68468474736.0
-,-,-,Giá trị hao mòn lũy kế,229,,(25.469.851.121),(20.314.809.853),,229.0,,-25469851121.0,-20314809853.0
III,III,III,Bất động sản đầu tư,230,V.12.,618.843.642.965,630.919.704.300,,230.0,,618843642965.0,630919704300.0
-,-,-,Nguyên giá,231,,735.401.626.634,733.074.468.690,,231.0,,735401626634.0,733074468690.0
-,-,-,Giá trị hao mòn lũy kế,232,,(116.557.983.669),(102.154.764.390),,232.0,,-116557983669.0,-102154764390.0
IV,IV,IV,Tài sản dở dang dài hạn,240,,1.540.257.411.644,1.210.474.059.629,,240.0,,1540257411644.0,1210474059629.0
1,1,1,Chi phí xây dựng cơ bản dở dang,242,V.9.,1.540.257.411.644,1.210.474.059.629,,242.0,,1540257411644.0,1210474059629.0
V,V,V,Đầu tư tài chính dài hạn,250,,-,-,,250.0,,,
VI,VI,VI,Tài sản dài hạn khác,260,,135.365.488.941,148.735.825.925,,260.0,,135365488941.0,148735825925.0
1,1,1,Chi phí trả trước dài hạn,261,V.13.,55.634.713.877,57.259.046.070,,261.0,,55634713877.0,57259046070.0
2,2,2,Tài sản thuế thu nhập hoãn lại,262,,23.654.392.685,17.749.979.400,,262.0,,23654392685.0,17749979400.0
3,3,3,Lợi thế thương mại,269,V.14.,56.076.382.379,73.726.800.455,,269.0,,56076382379.0,73726800455.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,9.424.847.526.584,7.060.487.398.145,,270.0,,9424847526584.0,7060487398145.0
