row_label_raw,row_label_full,Công ty TNHH Đầu tư và Phát triển Phạm Gia,13.200.000.000,9.240.000.000,-,-_1,numeric__13.200.000.000,numeric__9.240.000.000,numeric__-,numeric__-_1
Công ty CP Khách sạn An Thịnh Phát,Công ty CP Khách sạn An Thịnh Phát,Công ty CP Khách sạn An Thịnh Phát,14.240.940.000,-,14.240.940.000,-,14240940000.0,,14240940000.0,
Công ty CP Phát triển Phú Gia Việt Nam,Công ty CP Phát triển Phú Gia Việt Nam,Công ty CP Phát triển Phú Gia Việt Nam,12.000.000.000,8.400.000.000,-,-,12000000000.0,8400000000.0,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,34.450.929.974,6.930.000.000,25.729.291.033,2.256.236.694,34450929974.0,6930000000.0,25729291033.0,2256236694.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,596.049.172,-,596.049.172,69.127.852,596049172.0,,596049172.0,69127852.0
Công ty CP Tư vấn mỏ địa chất,Công ty CP Tư vấn mỏ địa chất,Công ty CP Tư vấn mỏ địa chất,340.000.000,-,340.000.000,-,340000000.0,,340000000.0,
Công ty CP Xây dựng Tất Hồng,Công ty CP Xây dựng Tất Hồng,Công ty CP Xây dựng Tất Hồng,217.226.172,-,217.226.172,65.167.852,217226172.0,,217226172.0,65167852.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,38.823.000,-,38.823.000,3.960.000,38823000.0,,38823000.0,3960000.0
Phải thu khác,Phải thu khác,Phải thu khác,5.815.175.120,-,5.815.175.120,263.457.752,5815175120.0,,5815175120.0,263457752.0
Công ty TNHH MTV Vật liệu xây dựng và Xây lắp thương mại BMC,Công ty TNHH MTV Vật liệu xây dựng và Xây lắp thương mại BMC,Công ty TNHH MTV Vật liệu xây dựng và Xây lắp thương mại BMC,5.100.000.000,-,5.100.000.000,-,5100000000.0,,5100000000.0,
Phạm Thúy Kiều,Phạm Thúy Kiều,Phạm Thúy Kiều,263.457.752,-,263.457.752,263.457.752,263457752.0,,263457752.0,263457752.0
Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,451.717.368,-,451.717.368,-,451717368.0,,451717368.0,
Cộng,Cộng,Cộng,92.782.013.824,28.313.675.867,58.860.374.883,8.828.282.077,92782013824.0,28313675867.0,58860374883.0,8828282077.0
