row_label_raw,row_label_full,col_0,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 – 3 tháng,Từ 3 – 6 tháng,Từ 6 – 12 tháng,Từ 1 – 5 năm,Trên 5 năm,Cộng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 – 3 tháng,numeric__Từ 3 – 6 tháng,numeric__Từ 6 – 12 tháng,numeric__Từ 1 – 5 năm,numeric__Trên 5 năm,numeric__Cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,755.932,-,-,-,-,-,-,755.932,,755932.0,,,,,,,755932.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,3.500.995,-,-,-,-,-,3.500.995,,,3500995.0,,,,,,3500995.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,10.026.937,1.885.010,-,-,-,-,11.911.947,,,10026937.0,1885010.0,,,,,11911947.0
Các công cụ tài chính phát sinh và các tài sản tài chính khác (*),Các công cụ tài chính phát sinh và các tài sản tài chính khác (*),Các công cụ tài chính phát sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Cho vay khách hàng (*),Các công cụ tài chính phát sinh và các tài sản tài chính khác (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),2.021.686,-,3.094.329,2.955.062,4.357.655,8.810.513,6.082.329,7.394.623,34.716.197,2021686.0,,3094329.0,2955062.0,4357655.0,8810513.0,6082329.0,7394623.0,34716197.0
Chứng khoán đầu tư (*),Các công cụ tài chính phát sinh và các tài sản tài chính khác (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,-,109.997,-,3.271.784,3.381.781,,,,,,109997.0,,3271784.0,3381781.0
"Góp vốn, đầu tư dài hạn (*)","Các công cụ tài chính phát sinh và các tài sản tài chính khác (*) > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,514.521,-,-,-,-,-,-,514.521,,514521.0,,,,,,,514521.0
Tài sản cố định và bất động sản đầu tư,Các công cụ tài chính phát sinh và các tài sản tài chính khác (*) > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,1.452.103,-,-,-,-,-,-,1.452.103,,1452103.0,,,,,,,1452103.0
Các tài sản có khác (*),Các công cụ tài chính phát sinh và các tài sản tài chính khác (*) > Các tài sản có khác (*),Các tài sản có khác (*),-,1.536.002,-,-,-,-,-,-,1.536.002,,1536002.0,,,,,,,1536002.0
Tổng tài sản,Các công cụ tài chính phát sinh và các tài sản tài chính khác (*) > Tổng tài sản,Tổng tài sản,2.021.686,4.258.558,16.622.261,4.840.072,4.357.655,8.920.510,6.082.329,10.666.407,57.769.478,2021686.0,4258558.0,16622261.0,4840072.0,4357655.0,8920510.0,6082329.0,10666407.0,57769478.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,7.208.245,1.875.392,9.697,1.871,49.925,8.472,9.153.602,,,7208245.0,1875392.0,9697.0,1871.0,49925.0,8472.0,9153602.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,8.989.398,9.351.780,9.539.330,11.788.163,2.595.775,863,42.265.309,,,8989398.0,9351780.0,9539330.0,11788163.0,2595775.0,863.0,42265309.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,300.000,300.000,300.000,-,900.000,,,,,300000.0,300000.0,300000.0,,900000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,1.292.921,-,-,-,-,-,-,1.292.921,,1292921.0,,,,,,,1292921.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,1.292.921,16.197.643,11.227.172,9.849.027,12.090.034,2.945.700,9.335,53.611.832,,1292921.0,16197643.0,11227172.0,9849027.0,12090034.0,2945700.0,9335.0,53611832.0
Mức chênh nhạy cảm với lãi suất – nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất – nội bảng,Mức chênh nhạy cảm với lãi suất – nội bảng,2.021.686,2.965.637,424.618,(6.387.100),(5.491.372),(3.169.524),3.136.629,10.657.072,4.157.646,2021686.0,2965637.0,424618.0,-6387100.0,-5491372.0,-3169524.0,3136629.0,10657072.0,4157646.0
