row_label_raw,row_label_full,Họ và tên > Bà Trần Thị Thu Hằng,Chức vụ > Chủ tịch > Phó Chủ tịch > phụ trách hoạt động HĐQT > Phó Chủ tịch > Thành viên,Ngày bổ nhiệm/miễn nhiệm > Bổ nhiệm ngày 26 tháng 5 năm 2021 > Bổ nhiệm ngày 03 tháng 5 năm 2021 > Miễn nhiệm ngày 25 tháng 5 năm 2021 > Bổ nhiệm ngày 01 tháng 02 năm 2021 > Miễn nhiệm ngày 03 tháng 5 năm 2021 > Bổ nhiệm ngày 28 tháng 01 năm 2021 > Miễn nhiệm ngày 01 tháng 02 năm 2021,numeric__Chức vụ > Chủ tịch > Phó Chủ tịch > phụ trách hoạt động HĐQT > Phó Chủ tịch > Thành viên,numeric__Ngày bổ nhiệm/miễn nhiệm > Bổ nhiệm ngày 26 tháng 5 năm 2021 > Bổ nhiệm ngày 03 tháng 5 năm 2021 > Miễn nhiệm ngày 25 tháng 5 năm 2021 > Bổ nhiệm ngày 01 tháng 02 năm 2021 > Miễn nhiệm ngày 03 tháng 5 năm 2021 > Bổ nhiệm ngày 28 tháng 01 năm 2021 > Miễn nhiệm ngày 01 tháng 02 năm 2021
Ông Mai Hữu Tín,Ông Mai Hữu Tín,Ông Mai Hữu Tín,Phó Chủ tịch,,,
Ông Phạm Trần Duy Huyền,Ông Phạm Trần Duy Huyền,Ông Phạm Trần Duy Huyền,Phó Chủ tịch,,,
Ông Lê Hồng Phương,Ông Lê Hồng Phương,Ông Lê Hồng Phương,Chủ tịch,Bổ nhiệm ngày 01 tháng 02 năm 2021,,
Ông Lê Hồng Phương,Ông Lê Hồng Phương,Ông Lê Hồng Phương,,Miễn nhiệm ngày 03 tháng 5 năm 2021,,
Ông Lê Hồng Phương,Ông Lê Hồng Phương,Ông Lê Hồng Phương,Thành viên,Bổ nhiệm ngày 28 tháng 01 năm 2021,,
Ông Lê Hồng Phương,Ông Lê Hồng Phương,Ông Lê Hồng Phương,,Miễn nhiệm ngày 28 tháng 12 năm 2021,,
Ông Lê Khắc Gia Bảo,Ông Lê Khắc Gia Bảo,Ông Lê Khắc Gia Bảo,Chủ tịch,Miễn nhiệm ngày 01 tháng 02 năm 2021,,
Ông Lê Khắc Gia Bảo,Ông Lê Khắc Gia Bảo,Ông Lê Khắc Gia Bảo,Thành viên,Miễn nhiệm ngày 29 tháng 4 năm 2021,,
Bà Nguyễn Thụy Quỳnh Hương,Bà Nguyễn Thụy Quỳnh Hương,Bà Nguyễn Thụy Quỳnh Hương,Thành viên,,,
Bà Trần Tuấn Anh,Bà Trần Tuấn Anh,Bà Trần Tuấn Anh,Thành viên,,,
Ông Lê Trung Việt,Ông Lê Trung Việt,Ông Lê Trung Việt,Thành viên,Miễn nhiệm ngày 28 tháng 01 năm 2021,,
Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Ông Trần Ngọc Minh,Thành viên,Bổ nhiệm ngày 28 tháng 12 năm 2021,,
Ông Bùi Thanh Hải,Ông Bùi Thanh Hải,Ông Bùi Thanh Hải,Thành viên,Bổ nhiệm ngày 28 tháng 12 năm 2021,,
Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,Thành viên độc lập,Bổ nhiệm ngày 28 tháng 12 năm 2021,,
Ông Trần Văn Trọng,Ông Trần Văn Trọng,Ông Trần Văn Trọng,Thành viên độc lập,Miễn nhiệm ngày 28 tháng 12 năm 2021,,
