row_label_raw,row_label_full,Mức rủi ro tín dụng của các tài khoản thuộc Bảngcân đối kế toán riêng,Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Bảngcân đối kế toán riêng,Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Bảngcân đối kế toán riêng,numeric__Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộc Bảngcân đối kế toán riêng,numeric__Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộc Bảngcân đối kế toán riêng
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,4.755.046,3.500.995,4755046.0,3500995.0
Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,29.872.517,11.911.947,29872517.0,11911947.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,38.387.339,34.716.197,38387339.0,34716197.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,7.093.616,3.381.781,7093616.0,3381781.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",655.388,1.066.409,655388.0,1066409.0
Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,536.932,192.423,536932.0,192423.0
Cộng,Cộng,Cộng,81.300.838,54.769.752,81300838.0,54769752.0
Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng,,
Cam kết trong nghiệp vụ L/C – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Cam kết trong nghiệp vụ L/C – gộp,Cam kết trong nghiệp vụ L/C – gộp,13.025,58.567,13025.0,58567.0
Bảo lãnh khác – gộp,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Bảo lãnh khác – gộp,Bảo lãnh khác – gộp,337.073,187.750,337073.0,187750.0
Cộng,Mức độ rủi ro tín dụng của các tài khoản ngoại bảng > Cộng,Cộng,350.098,246.317,350098.0,246317.0
