row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,Năm nay,Năm trước,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,1. Thu nhập lãi và các khoản thu nhập tương tự,VI.1,5.449.139,3.932.611,,,5449139.0,3932611.0
,,,2. Chi phí lãi và các khoản chi phí tương tự,VI.2,3.527.628,2.989.448,,,3527628.0,2989448.0
,,,I. Thu nhập lãi thuần,,1.921.511,943.163,,,1921511.0,943163.0
,,,3. Thu nhập từ hoạt động dịch vụ,VI.3,246.235,70.756,,,246235.0,70756.0
,,,4. Chi phí từ hoạt động dịch vụ,VI.3,23.022,20.661,,,23022.0,20661.0
,,,II. Lãi/lỗ thuần từ hoạt động dịch vụ,VI.3,223.213,50.095,,,223213.0,50095.0
,,,III. Lãi/lỗ thuần từ kinh doanh ngoại hối,VI.4,28.274,25.237,,,28274.0,25237.0
,,,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,-,-,,,,
,,,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,VI.5,63.737,77.167,,,63737.0,77167.0
,,,5. Thu nhập từ hoạt động khác,VI.6,48.459,57.809,,,48459.0,57809.0
,,,6. Chi phí từ hoạt động khác,VI.6,16.911,8.174,,,16911.0,8174.0
,,,VI. Lãi/lỗ thuần từ hoạt động khác,VI.6,31.548,49.635,,,31548.0,49635.0
,,,"VII. Thu nhập từ góp vốn, mua cổ phần",VI.7,42.664,12.875,,,42664.0,12875.0
,,,VIII. Chi phí hoạt động,VI.8,1.178.744,1.041.584,,,1178744.0,1041584.0
,,,IX. Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,,1.132.203,116.588,,,1132203.0,116588.0
,,,X. Chi phí dự phòng rủi ro tín dụng,V.6,81.647,(2.410),,,81647.0,-2410.0
,,,XI. Tổng lợi nhuận trước thuế,,1.050.556,118.998,,,1050556.0,118998.0
,,,7. Chi phí thuế thu nhập doanh nghiệp hiện hành,VIII.2,239.651,21.651,,,239651.0,21651.0
,,,8. Chi phí thuế thu nhập doanh nghiệp hoãn lại,,-,-,,,,
,,,XII. Chi phí thuế thu nhập doanh nghiệp,,239.651,21.651,,,239651.0,21651.0
,,,XIII. Lợi nhuận sau thuế,,810.905,97.347,,,810905.0,97347.0
,,,XIV. Lãi cơ bản trên cổ phiếu,VI.9,,,,,,
