row_label_raw,row_label_full,Doanh nghiệp số,"0105850244 > Giấy Chứng nhận Đăng ký Doanh nghiệp của Công ty đã được điều chỉnh nhiều lần, lần điều chỉnh gần nhất là vào ngày 20 tháng 3 năm 2024. Giấy Chứng nhận Đăng ký Doanh nghiệp của Công ty do Sở Kế hoạch và Đầu tư Thành phố Hà Nội cấp.","ngày 11 tháng 4 năm 2012 > Giấy Chứng nhận Đăng ký Doanh nghiệp của Công ty đã được điều chỉnh nhiều lần, lần điều chỉnh gần nhất là vào ngày 20 tháng 3 năm 2024. Giấy Chứng nhận Đăng ký Doanh nghiệp của Công ty do Sở Kế hoạch và Đầu tư Thành phố Hà Nội cấp.","numeric__0105850244 > Giấy Chứng nhận Đăng ký Doanh nghiệp của Công ty đã được điều chỉnh nhiều lần, lần điều chỉnh gần nhất là vào ngày 20 tháng 3 năm 2024. Giấy Chứng nhận Đăng ký Doanh nghiệp của Công ty do Sở Kế hoạch và Đầu tư Thành phố Hà Nội cấp.","numeric__ngày 11 tháng 4 năm 2012 > Giấy Chứng nhận Đăng ký Doanh nghiệp của Công ty đã được điều chỉnh nhiều lần, lần điều chỉnh gần nhất là vào ngày 20 tháng 3 năm 2024. Giấy Chứng nhận Đăng ký Doanh nghiệp của Công ty do Sở Kế hoạch và Đầu tư Thành phố Hà Nội cấp."
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Thái Thị Thanh Hải,Chủ tịch,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Trần Mai Hoa,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Lê Mai Lan,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Sanjay Vinayak,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Fong Ming Huang Ernest,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Nguyễn Thế Anh,Thành viên,,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Bà Trần Mai Hoa,Tổng Giám đốc(đến ngày 11/10/2023 và từ ngày 20/3/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Bà Phạm Thị Thu Hiền,Tổng Giám đốc(từ ngày 11/10/2023 đến ngày 20/3/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Ông Nguyễn Duy Khánh,Phó Tổng Giám đốc(đến ngày 31/8/2023 và từ ngày 29/1/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Bà Vũ Tuyết Hằng,Phó Tổng Giám đốc thường trực(từ ngày 11/10/2023 đến ngày 29/1/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Bà Phạm Thị Thu Hiền,Phó Tổng Giám đốc(đến ngày 11/10/2023 và từ ngày 20/3/2024),,
Ban Giám đốc,Ban Giám đốc,Ban Giám đốc,Bà Phạm Thị Ngọc Hà,Giám đốc Tài chính,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Chu Anh Dũng,Trường Ban Kiểm soát,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Nguyễn Thu Phương,Thành viên,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Trần Thanh Tâm,Thành viên,,
Trụ sở đăng ký,Trụ sở đăng ký,Trụ sở đăng ký,"Số 7, Đường Bằng Lăng 1Khu đô thị Vinhomes RiversidePhường Việt Hưng, Quận Long BiênThành phố Hà NộiViệt Nam",,,
Công ty kiểm toán,Công ty kiểm toán,Công ty kiểm toán,Công ty TNHH KPMGViệt Nam,,,
