row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Thiết bịvăn phòngTriệu VND,Tài sãnkhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sãnkhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,271.258,305.066,26.758,25.590,628.672,271258.0,305066.0,26758.0,25590.0,628672.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.133,4.850,-,-,8.983,4133.0,4850.0,,,8983.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,5.068,-,-,5.068,,5068.0,,,5068.0
"Thanh lý, xóa sổ","Nguyên giá > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,(3.877),(202),(2.665),(6.744),,-3877.0,-202.0,-2665.0,-6744.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(1.129),-,-,(1.129),,-1129.0,,,-1129.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,275.391,309.978,26.556,22.925,634.850,275391.0,309978.0,26556.0,22925.0,634850.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,25.110,163.788,16.986,15.424,221.308,25110.0,163788.0,16986.0,15424.0,221308.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.399,24.079,3.397,2.223,33.098,3399.0,24079.0,3397.0,2223.0,33098.0
"Thanh lý, xóa sổ","Giá trị hao mòn lũy kế > Thanh lý, xóa sổ","Thanh lý, xóa sổ",-,(3.877),(202),(2.665),(6.744),,-3877.0,-202.0,-2665.0,-6744.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,(147),-,-,(147),,-147.0,,,-147.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,28.509,183.843,20.181,14.982,247.515,28509.0,183843.0,20181.0,14982.0,247515.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,246.148,141.278,9.772,10.166,407.364,246148.0,141278.0,9772.0,10166.0,407364.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,246.882,126.135,6.375,7.943,387.335,246882.0,126135.0,6375.0,7943.0,387335.0
