row_label_raw,row_label_full,col_0,Phần mềm máy vi tính Triệu VND,numeric__Phần mềm máy vi tính Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,63.007,63007.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,737,737.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,21.819,21819.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,85.563,85563.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,52.364,52364.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,7.171,7171.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,59.535,59535.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,10.643,10643.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,26.028,26028.0
