row_label_raw,row_label_full,"Thông tin về tài sản, nợ phải trả và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty con và các công ty con tại ngày 31 tháng 12 năm 2023 như sau: > Tại ngày 31 tháng 12 năm 2023","Thông tin về tài sản, nợ phải trả và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty con và các công ty con tại ngày 31 tháng 12 năm 2023 như sau: > Kinh doanh chuyển nhượng bất động sản Triệu VND","Thông tin về tài sản, nợ phải trả và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty con và các công ty con tại ngày 31 tháng 12 năm 2023 như sau: > Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND","Thông tin về tài sản, nợ phải trả và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty con và các công ty con tại ngày 31 tháng 12 năm 2023 như sau: > Khác Triệu VND","Thông tin về tài sản, nợ phải trả và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty con và các công ty con tại ngày 31 tháng 12 năm 2023 như sau: > Hợp nhất Triệu VND","numeric__Thông tin về tài sản, nợ phải trả và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty con và các công ty con tại ngày 31 tháng 12 năm 2023 như sau: > Kinh doanh chuyển nhượng bất động sản Triệu VND","numeric__Thông tin về tài sản, nợ phải trả và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty con và các công ty con tại ngày 31 tháng 12 năm 2023 như sau: > Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND","numeric__Thông tin về tài sản, nợ phải trả và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty con và các công ty con tại ngày 31 tháng 12 năm 2023 như sau: > Khác Triệu VND","numeric__Thông tin về tài sản, nợ phải trả và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty con và các công ty con tại ngày 31 tháng 12 năm 2023 như sau: > Hợp nhất Triệu VND"
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,981.477,41.045.682,277.972,42.305.131,981477.0,41045682.0,277972.0,42305131.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,5.348.600,,,,5348600.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,47.653.731,,,,47653731.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.238.136,2.538.612,154.968,3.931.716,1238136.0,2538612.0,154968.0,3931716.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,5.895.162,,,,5895162.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,9.826.878,,,,9826878.0
Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,Cho năm kết thúc ngày 31 tháng 12 năm 2023,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Chi tiêu vốn,Chi tiêu vốn,-,386.015,-,386.015,,386015.0,,386015.0
Khấu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,-,21.370,11.728,33.098,,21370.0,11728.0,33098.0
Khấu hao tài sản cố định vô hình và phân bổ lợi thế thương mại,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khấu hao tài sản cố định vô hình và phân bổ lợi thế thương mại,Khấu hao tài sản cố định vô hình và phân bổ lợi thế thương mại,-,77.585,-,77.585,,77585.0,,77585.0
Khấu hao bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2023 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,-,1.341.133,-,1.341.133,,1341133.0,,1341133.0
