row_label_raw,row_label_full,col_0,Mãsố,Thuyếtminh,31/12/2023Triệu VND,1/1/2023Triệu VND,numeric__Mãsố,numeric__Thuyếtminh,numeric__31/12/2023Triệu VND,numeric__1/1/2023Triệu VND
Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 260),200,,37.617.283,32.166.438,200.0,,37617283.0,32166438.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,12.169,8.222,210.0,,12169.0,8222.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,9(b),12.169,8.222,216.0,,12169.0,8222.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,413.363,418.007,220.0,,413363.0,418007.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,13,387.335,407.364,221.0,13.0,387335.0,407364.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,634.850,628.672,222.0,,634850.0,628672.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(247.515),(221.308),223.0,,-247515.0,-221308.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,14,26.028,10.643,227.0,14.0,26028.0,10643.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,85.563,63.007,228.0,,85563.0,63007.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(59.535),(52.364),229.0,,-59535.0,-52364.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,15,25.179.848,26.514.396,230.0,15.0,25179848.0,26514396.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,35.182.435,35.199.059,231.0,,35182435.0,35199059.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(10.002.587),(8.684.663),232.0,,-10002587.0,-8684663.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,1.028.319,699.496,240.0,,1028319.0,699496.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,16,1.028.319,699.496,242.0,16.0,1028319.0,699496.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,10.983.584,4.526.317,260.0,,10983584.0,4526317.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,17(b),452.965,477.603,261.0,,452965.0,477603.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,18,65.598,74.337,262.0,18.0,65598.0,74337.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,12,10.346.408,3.785.350,268.0,12.0,10346408.0,3785350.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,19,118.613,189.027,269.0,19.0,118613.0,189027.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,47.653.731,42.701.088,270.0,,47653731.0,42701088.0
