row_label_raw,row_label_full,"Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Cho năm kết thúc ngày 31 tháng 12 năm 2023","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Kinh doanh chuyển nhượng bất động sản Triệu VND","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Khác Triệu VND","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Tổng cộng Triệu VND","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Loại trừ Triệu VND","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Hợp nhất Triệu VND","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Kinh doanh chuyển nhượng bất động sản Triệu VND","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Khác Triệu VND","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Tổng cộng Triệu VND","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Loại trừ Triệu VND","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Thông tin về doanh thu, chi phí, kết quả kinh doanh và các thông tin khác của bộ phận theo lĩnh vực kinh doanh của Công ty và các công ty con cho năm kết thúc ngày 31 tháng 12 năm 2023 như sau: > Hợp nhất Triệu VND"
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,1.771.587,7.796.476,223.272,9.791.335,-,9.791.335,1771587.0,7796476.0,223272.0,9791335.0,,9791335.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,-,234.536,291.569,526.105,(526.105),-,,234536.0,291569.0,526105.0,-526105.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,1.771.587,8.031.012,514.841,10.317.440,(526.105),9.791.335,1771587.0,8031012.0,514841.0,10317440.0,-526105.0,9791335.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,509.704,4.081.658,9.851,4.601.213,(35.246),4.565.967,509704.0,4081658.0,9851.0,4601213.0,-35246.0,4565967.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,1.146.339,,,,,,1146339.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,330.426,,,,,,330426.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,5.381.880,,,,,,5381880.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,212.434,,,,,,212434.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,68.227,,,,,,68227.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,1.117.279,,,,,,1117279.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,4.408.808,,,,,,4408808.0
